Road User Type,(Multiple Items),,Road User Type,(Multiple Items),,,Road User Type,(Multiple Items)
,,,Statistic Label,Killed Casualties,,,Statistic Label,Killed Casualties
Row Labels,Sum of VALUE,,,,,,,
2005,192,,Sum of VALUE,Column Labels,,,Row Labels,Sum of VALUE
55 - 64 years,4,,2015,21.43%,78.57%,,18 - 20 years,10.71%
Female,3,,18 - 20 years,11.11%,88.89%,,21 - 24 years,11.90%
Male,1,,21 - 24 years,10.00%,90.00%,,25 - 34 years,23.81%
65 years and over,19,,25 - 34 years,25.00%,75.00%,,35 - 44 years,13.10%
Female,7,,35 - 44 years,27.27%,72.73%,,45 - 54 years,5.95%
Male,12,,45 - 54 years,20.00%,80.00%,,55 - 64 years,15.48%
2009,131,,55 - 64 years,30.77%,69.23%,,65 years and over,19.05%
18 - 20 years,18,,65 years and over,18.75%,81.25%,,2016,100.00%
Female,3,,2016,18.37%,81.63%,,18 - 20 years,7.14%
Male,15,,18 - 20 years,0.00%,100.00%,,21 - 24 years,9.18%
21 - 24 years,22,,21 - 24 years,0.00%,100.00%,,25 - 34 years,26.53%
Female,3,,25 - 34 years,30.77%,69.23%,,35 - 44 years,15.31%
Male,19,,35 - 44 years,20.00%,80.00%,,45 - 54 years,12.24%
25 - 34 years,34,,45 - 54 years,8.33%,91.67%,,55 - 64 years,9.18%
Female,8,,55 - 64 years,44.44%,55.56%,,65 years and over,20.41%
Male,26,,65 years and over,10.00%,90.00%,,2017,100.00%
35 - 44 years,24,,2017,21.62%,78.38%,,18 - 20 years,6.76%
Female,2,,18 - 20 years,0.00%,100.00%,,21 - 24 years,12.16%
Male,22,,21 - 24 years,0.00%,100.00%,,25 - 34 years,24.32%
45 - 54 years,10,,25 - 34 years,16.67%,83.33%,,35 - 44 years,18.92%
Female,8,,35 - 44 years,21.43%,78.57%,,45 - 54 years,12.16%
Male,2,,45 - 54 years,11.11%,88.89%,,55 - 64 years,5.41%
55 - 64 years,10,,55 - 64 years,50.00%,50.00%,,65 years and over,20.27%
Female,3,,65 years and over,46.67%,53.33%,,2018,100.00%
Male,7,,2018,13.79%,86.21%,,18 - 20 years,5.17%
65 years and over,13,,18 - 20 years,0.00%,100.00%,,21 - 24 years,13.79%
Female,4,,21 - 24 years,0.00%,100.00%,,25 - 34 years,17.24%
Male,9,,25 - 34 years,10.00%,90.00%,,35 - 44 years,12.07%
2010,94,,35 - 44 years,14.29%,85.71%,,45 - 54 years,22.41%
18 - 20 years,10,,45 - 54 years,7.69%,92.31%,,55 - 64 years,12.07%
Female,2,,55 - 64 years,28.57%,71.43%,,65 years and over,17.24%
Male,8,,65 years and over,30.00%,70.00%,,2019,100.00%
21 - 24 years,16,,2019,25.93%,74.07%,,18 - 20 years,6.17%
Female,2,,18 - 20 years,20.00%,80.00%,,21 - 24 years,11.11%
Male,14,,21 - 24 years,11.11%,88.89%,,25 - 34 years,24.69%
25 - 34 years,30,,25 - 34 years,20.00%,80.00%,,35 - 44 years,9.88%
Female,5,,35 - 44 years,25.00%,75.00%,,45 - 54 years,11.11%
Male,25,,45 - 54 years,22.22%,77.78%,,55 - 64 years,8.64%
