STATISTIC,Statistic Label,TLIST(A1),Year,C02875V03459,Type of Vehicle,UNIT,VALUE
THA10C1,Vehicle Population,2009,2009,70,Exempt vehicles,Number,25644
THA10C1,Vehicle Population,2009,2009,80,Other vehicles,Number,41404
THA10C1,Vehicle Population,2010,2010,-,All vehicle types,Number,2437699
THA10C1,Vehicle Population,2010,2010,10,Private cars,Number,1890110
THA10C1,Vehicle Population,2010,2010,20,Goods vehicles,Number,331779
THA10C1,Vehicle Population,2010,2010,30,Motor cycles,Number,38043
THA10C1,Vehicle Population,2010,2010,40,Tractors & Machinery,Number,72014
THA10C1,Vehicle Population,2010,2010,50,Small PSVs,Number,27578
THA10C1,Vehicle Population,2010,2010,60,Large PSVs,Number,8373
THA10C1,Vehicle Population,2010,2010,70,Exempt vehicles,Number,25587
THA10C1,Vehicle Population,2010,2010,80,Other vehicles,Number,44215
THA10C1,Vehicle Population,2011,2011,-,All vehicle types,Number,2419523
THA10C1,Vehicle Population,2011,2011,10,Private cars,Number,1886421
THA10C1,Vehicle Population,2011,2011,20,Goods vehicles,Number,319530
THA10C1,Vehicle Population,2011,2011,30,Motor cycles,Number,36531
THA10C1,Vehicle Population,2011,2011,40,Tractors & Machinery,Number,70463
THA10C1,Vehicle Population,2011,2011,50,Small PSVs,Number,26042
THA10C1,Vehicle Population,2011,2011,60,Large PSVs,Number,8203
THA10C1,Vehicle Population,2011,2011,70,Exempt vehicles,Number,26173
THA10C1,Vehicle Population,2011,2011,80,Other vehicles,Number,46160
THA10C1,Vehicle Population,2012,2012,-,All vehicle types,Number,2421798
THA10C1,Vehicle Population,2012,2012,10,Private cars,Number,1896184
THA10C1,Vehicle Population,2012,2012,20,Goods vehicles,Number,312866
THA10C1,Vehicle Population,2012,2012,30,Motor cycles,Number,35438
THA10C1,Vehicle Population,2012,2012,40,Tractors & Machinery,Number,70288
THA10C1,Vehicle Population,2012,2012,50,Small PSVs,Number,24779
THA10C1,Vehicle Population,2012,2012,60,Large PSVs,Number,8241
THA10C1,Vehicle Population,2012,2012,70,Exempt vehicles,Number,26095
THA10C1,Vehicle Population,2012,2012,80,Other vehicles,Number,47906
THA10C1,Vehicle Population,2013,2013,-,All vehicle types,Number,2463697
THA10C1,Vehicle Population,2013,2013,10,Private cars,Number,1913939
THA10C1,Vehicle Population,2013,2013,20,Goods vehicles,Number,312578
THA10C1,Vehicle Population,2013,2013,30,Motor cycles,Number,35670
THA10C1,Vehicle Population,2013,2013,40,Tractors & Machinery,Number,85801
THA10C1,Vehicle Population,2013,2013,50,Small PSVs,Number,23605
THA10C1,Vehicle Population,2013,2013,60,Large PSVs,Number,8307
THA10C1,Vehicle Population,2013,2013,70,Exempt vehicles,Number,26164
THA10C1,Vehicle Population,2013,2013,80,Other vehicles,Number,57633
THA10C1,Vehicle Population,2014,2014,-,All vehicle types,Number,2521433
THA10C1,Vehicle Population,2014,2014,10,Private cars,Number,1950080
THA10C1,Vehicle Population,2014,2014,20,Goods vehicles,Number,316687
THA10C1,Vehicle Population,2014,2014,30,Motor cycles,Number,36429
THA10C1,Vehicle Population,2014,2014,40,Tractors & Machinery,Number,95593
THA10C1,Vehicle Population,2014,2014,50,Small PSVs,Number,22890
THA10C1,Vehicle Population,2014,2014,60,Large PSVs,Number,8637
THA10C1,Vehicle Population,2014,2014,70,Exempt vehicles,Number,26211
THA10C1,Vehicle Population,2014,2014,80,Other vehicles,Number,64906
THA10C1,Vehicle Population,2015,2015,-,All vehicle types,Number,2573961
THA10C1,Vehicle Population,2015,2015,10,Private cars,Number,1992819
THA10C1,Vehicle Population,2015,2015,20,Goods vehicles,Number,326277
THA10C1,Vehicle Population,2015,2015,30,Motor cycles,Number,36755
