STATISTIC,Statistic Label,TLIST(A1),Year,C02875V03459,Type of Vehicle,UNIT,VALUE
THA10C2,Kilometres Travelled,2018,2018,30,Motor cycles,Million,109
THA10C2,Kilometres Travelled,2018,2018,40,Tractors & Machinery,Million,1485
THA10C2,Kilometres Travelled,2018,2018,50,Small PSVs,Million,842
THA10C2,Kilometres Travelled,2018,2018,60,Large PSVs,Million,386
THA10C2,Kilometres Travelled,2018,2018,70,Exempt vehicles,Million,450
THA10C2,Kilometres Travelled,2018,2018,80,Other vehicles,Million,407
THA10C2,Kilometres Travelled,2019,2019,-,All vehicle types,Million,47072
THA10C2,Kilometres Travelled,2019,2019,10,Private cars,Million,35453
THA10C2,Kilometres Travelled,2019,2019,20,Goods vehicles,Million,8023
THA10C2,Kilometres Travelled,2019,2019,30,Motor cycles,Million,114
THA10C2,Kilometres Travelled,2019,2019,40,Tractors & Machinery,Million,1402
THA10C2,Kilometres Travelled,2019,2019,50,Small PSVs,Million,848
THA10C2,Kilometres Travelled,2019,2019,60,Large PSVs,Million,392
THA10C2,Kilometres Travelled,2019,2019,70,Exempt vehicles,Million,438
THA10C2,Kilometres Travelled,2019,2019,80,Other vehicles,Million,403
THA10C2,Kilometres Travelled,2020,2020,-,All vehicle types,Million,36237
THA10C2,Kilometres Travelled,2020,2020,10,Private cars,Million,26102
THA10C2,Kilometres Travelled,2020,2020,20,Goods vehicles,Million,7283
THA10C2,Kilometres Travelled,2020,2020,30,Motor cycles,Million,101
THA10C2,Kilometres Travelled,2020,2020,40,Tractors & Machinery,Million,1289
THA10C2,Kilometres Travelled,2020,2020,50,Small PSVs,Million,552
THA10C2,Kilometres Travelled,2020,2020,60,Large PSVs,Million,271
THA10C2,Kilometres Travelled,2020,2020,70,Exempt vehicles,Million,327
THA10C2,Kilometres Travelled,2020,2020,80,Other vehicles,Million,312
THA10C2,Kilometres Travelled,2021,2021,-,All vehicle types,Million,41878
THA10C2,Kilometres Travelled,2021,2021,10,Private cars,Million,30216
THA10C2,Kilometres Travelled,2021,2021,20,Goods vehicles,Million,8812
THA10C2,Kilometres Travelled,2021,2021,30,Motor cycles,Million,111
THA10C2,Kilometres Travelled,2021,2021,40,Tractors & Machinery,Million,1253
THA10C2,Kilometres Travelled,2021,2021,50,Small PSVs,Million,461
THA10C2,Kilometres Travelled,2021,2021,60,Large PSVs,Million,260
THA10C2,Kilometres Travelled,2021,2021,70,Exempt vehicles,Million,381
THA10C2,Kilometres Travelled,2021,2021,80,Other vehicles,Million,384
THA10C2,Kilometres Travelled,2022,2022,-,All vehicle types,Million,47604
THA10C2,Kilometres Travelled,2022,2022,10,Private cars,Million,34952
THA10C2,Kilometres Travelled,2022,2022,20,Goods vehicles,Million,9356
THA10C2,Kilometres Travelled,2022,2022,30,Motor cycles,Million,114
THA10C2,Kilometres Travelled,2022,2022,40,Tractors & Machinery,Million,1309
THA10C2,Kilometres Travelled,2022,2022,50,Small PSVs,Million,631
THA10C2,Kilometres Travelled,2022,2022,60,Large PSVs,Million,329
THA10C2,Kilometres Travelled,2022,2022,70,Exempt vehicles,Million,439
THA10C2,Kilometres Travelled,2022,2022,80,Other vehicles,Million,474
THA10C2,Kilometres Travelled,2023,2023,-,All vehicle types,Million,47296
THA10C2,Kilometres Travelled,2023,2023,10,Private cars,Million,35126
THA10C2,Kilometres Travelled,2023,2023,20,Goods vehicles,Million,8775
THA10C2,Kilometres Travelled,2023,2023,30,Motor cycles,Million,127
THA10C2,Kilometres Travelled,2023,2023,40,Tractors & Machinery,Million,1269
THA10C2,Kilometres Travelled,2023,2023,50,Small PSVs,Million,694
THA10C2,Kilometres Travelled,2023,2023,60,Large PSVs,Million,419
THA10C2,Kilometres Travelled,2023,2023,70,Exempt vehicles,Million,430
THA10C2,Kilometres Travelled,2023,2023,80,Other vehicles,Million,458
THA10C3,Average Kilometres Travelled,2000,2000,-,All vehicle types,Kilometres,18289
THA10C3,Average Kilometres Travelled,2000,2000,10,Private cars,Kilometres,17558
THA10C3,Average Kilometres Travelled,2000,2000,20,Goods vehicles,Kilometres,23524
THA10C3,Average Kilometres Travelled,2000,2000,30,Motor cycles,Kilometres,3702
THA10C3,Average Kilometres Travelled,2000,2000,40,Tractors & Machinery,Kilometres,18813
THA10C3,Average Kilometres Travelled,2000,2000,50,Small PSVs,Kilometres,39289
THA10C3,Average Kilometres Travelled,2000,2000,60,Large PSVs,Kilometres,38022
THA10C3,Average Kilometres Travelled,2000,2000,70,Exempt vehicles,Kilometres,17872
THA10C3,Average Kilometres Travelled,2000,2000,80,Other vehicles,Kilometres,11069
THA10C3,Average Kilometres Travelled,2001,2001,-,All vehicle types,Kilometres,18456
THA10C3,Average Kilometres Travelled,2001,2001,10,Private cars,Kilometres,17707
THA10C3,Average Kilometres Travelled,2001,2001,20,Goods vehicles,Kilometres,23724
THA10C3,Average Kilometres Travelled,2001,2001,30,Motor cycles,Kilometres,3733
THA10C3,Average Kilometres Travelled,2001,2001,40,Tractors & Machinery,Kilometres,18973
THA10C3,Average Kilometres Travelled,2001,2001,50,Small PSVs,Kilometres,39623
THA10C3,Average Kilometres Travelled,2001,2001,60,Large PSVs,Kilometres,38345
THA10C3,Average Kilometres Travelled,2001,2001,70,Exempt vehicles,Kilometres,18024
THA10C3,Average Kilometres Travelled,2001,2001,80,Other vehicles,Kilometres,11164
THA10C3,Average Kilometres Travelled,2002,2002,-,All vehicle types,Kilometres,18287
THA10C3,Average Kilometres Travelled,2002,2002,10,Private cars,Kilometres,17519
THA10C3,Average Kilometres Travelled,2002,2002,20,Goods vehicles,Kilometres,23472
THA10C3,Average Kilometres Travelled,2002,2002,30,Motor cycles,Kilometres,3694
THA10C3,Average Kilometres Travelled,2002,2002,40,Tractors & Machinery,Kilometres,18771
THA10C3,Average Kilometres Travelled,2002,2002,50,Small PSVs,Kilometres,39202
THA10C3,Average Kilometres Travelled,2002,2002,60,Large PSVs,Kilometres,37938
THA10C3,Average Kilometres Travelled,2002,2002,70,Exempt vehicles,Kilometres,17833
THA10C3,Average Kilometres Travelled,2002,2002,80,Other vehicles,Kilometres,11045
THA10C3,Average Kilometres Travelled,2003,2003,-,All vehicle types,Kilometres,18557
THA10C3,Average Kilometres Travelled,2003,2003,10,Private cars,Kilometres,17754
THA10C3,Average Kilometres Travelled,2003,2003,20,Goods vehicles,Kilometres,23786
THA10C3,Average Kilometres Travelled,2003,2003,30,Motor cycles,Kilometres,3743
THA10C3,Average Kilometres Travelled,2003,2003,40,Tractors & Machinery,Kilometres,19022
THA10C3,Average Kilometres Travelled,2003,2003,50,Small PSVs,Kilometres,39727
THA10C3,Average Kilometres Travelled,2003,2003,60,Large PSVs,Kilometres,38446
THA10C3,Average Kilometres Travelled,2003,2003,70,Exempt vehicles,Kilometres,18071
THA10C3,Average Kilometres Travelled,2003,2003,80,Other vehicles,Kilometres,11193
THA10C3,Average Kilometres Travelled,2004,2004,-,All vehicle types,Kilometres,18953
THA10C3,Average Kilometres Travelled,2004,2004,10,Private cars,Kilometres,18117
THA10C3,Average Kilometres Travelled,2004,2004,20,Goods vehicles,Kilometres,24272
THA10C3,Average Kilometres Travelled,2004,2004,30,Motor cycles,Kilometres,3820
THA10C3,Average Kilometres Travelled,2004,2004,40,Tractors & Machinery,Kilometres,19411
THA10C3,Average Kilometres Travelled,2004,2004,50,Small PSVs,Kilometres,40539
THA10C3,Average Kilometres Travelled,2004,2004,60,Large PSVs,Kilometres,39232
THA10C3,Average Kilometres Travelled,2004,2004,70,Exempt vehicles,Kilometres,18441
THA10C3,Average Kilometres Travelled,2004,2004,80,Other vehicles,Kilometres,11422
THA10C3,Average Kilometres Travelled,2005,2005,-,All vehicle types,Kilometres,18806
THA10C3,Average Kilometres Travelled,2005,2005,10,Private cars,Kilometres,17960
THA10C3,Average Kilometres Travelled,2005,2005,20,Goods vehicles,Kilometres,24063
THA10C3,Average Kilometres Travelled,2005,2005,30,Motor cycles,Kilometres,3787
THA10C3,Average Kilometres Travelled,2005,2005,40,Tractors & Machinery,Kilometres,19243
THA10C3,Average Kilometres Travelled,2005,2005,50,Small PSVs,Kilometres,40189
THA10C3,Average Kilometres Travelled,2005,2005,60,Large PSVs,Kilometres,38893
THA10C3,Average Kilometres Travelled,2005,2005,70,Exempt vehicles,Kilometres,18281
THA10C3,Average Kilometres Travelled,2005,2005,80,Other vehicles,Kilometres,11323
THA10C3,Average Kilometres Travelled,2006,2006,-,All vehicle types,Kilometres,18406
THA10C3,Average Kilometres Travelled,2006,2006,10,Private cars,Kilometres,17552
THA10C3,Average Kilometres Travelled,2006,2006,20,Goods vehicles,Kilometres,23516
THA10C3,Average Kilometres Travelled,2006,2006,30,Motor cycles,Kilometres,3701
THA10C3,Average Kilometres Travelled,2006,2006,40,Tractors & Machinery,Kilometres,18806
THA10C3,Average Kilometres Travelled,2006,2006,50,Small PSVs,Kilometres,39275
THA10C3,Average Kilometres Travelled,2006,2006,60,Large PSVs,Kilometres,38009
THA10C3,Average Kilometres Travelled,2006,2006,70,Exempt vehicles,Kilometres,17866
THA10C3,Average Kilometres Travelled,2006,2006,80,Other vehicles,Kilometres,11065
THA10C3,Average Kilometres Travelled,2007,2007,-,All vehicle types,Kilometres,18067
THA10C3,Average Kilometres Travelled,2007,2007,10,Private cars,Kilometres,17200
THA10C3,Average Kilometres Travelled,2007,2007,20,Goods vehicles,Kilometres,23044
THA10C3,Average Kilometres Travelled,2007,2007,30,Motor cycles,Kilometres,3626
THA10C3,Average Kilometres Travelled,2007,2007,40,Tractors & Machinery,Kilometres,18429
THA10C3,Average Kilometres Travelled,2007,2007,50,Small PSVs,Kilometres,38487
THA10C3,Average Kilometres Travelled,2007,2007,60,Large PSVs,Kilometres,37246
THA10C3,Average Kilometres Travelled,2007,2007,70,Exempt vehicles,Kilometres,17507
THA10C3,Average Kilometres Travelled,2007,2007,80,Other vehicles,Kilometres,10844
THA10C3,Average Kilometres Travelled,2008,2008,-,All vehicle types,Kilometres,17472
THA10C3,Average Kilometres Travelled,2008,2008,10,Private cars,Kilometres,16272
THA10C3,Average Kilometres Travelled,2008,2008,20,Goods vehicles,Kilometres,22432
THA10C3,Average Kilometres Travelled,2008,2008,30,Motor cycles,Kilometres,4186
THA10C3,Average Kilometres Travelled,2008,2008,40,Tractors & Machinery,Kilometres,24452
THA10C3,Average Kilometres Travelled,2008,2008,50,Small PSVs,Kilometres,36758
THA10C3,Average Kilometres Travelled,2008,2008,60,Large PSVs,Kilometres,35920
THA10C3,Average Kilometres Travelled,2008,2008,70,Exempt vehicles,Kilometres,16888
THA10C3,Average Kilometres Travelled,2008,2008,80,Other vehicles,Kilometres,12570
THA10C3,Average Kilometres Travelled,2009,2009,-,All vehicle types,Kilometres,18197
THA10C3,Average Kilometres Travelled,2009,2009,10,Private cars,Kilometres,17437
THA10C3,Average Kilometres Travelled,2009,2009,20,Goods vehicles,Kilometres,22789
THA10C3,Average Kilometres Travelled,2009,2009,30,Motor cycles,Kilometres,3472
THA10C3,Average Kilometres Travelled,2009,2009,40,Tractors & Machinery,Kilometres,18019
THA10C3,Average Kilometres Travelled,2009,2009,50,Small PSVs,Kilometres,32630
THA10C3,Average Kilometres Travelled,2009,2009,60,Large PSVs,Kilometres,40255
THA10C3,Average Kilometres Travelled,2009,2009,70,Exempt vehicles,Kilometres,19670
THA10C3,Average Kilometres Travelled,2009,2009,80,Other vehicles,Kilometres,13578
THA10C3,Average Kilometres Travelled,2010,2010,-,All vehicle types,Kilometres,17297
THA10C3,Average Kilometres Travelled,2010,2010,10,Private cars,Kilometres,16789
THA10C3,Average Kilometres Travelled,2010,2010,20,Goods vehicles,Kilometres,20707
THA10C3,Average Kilometres Travelled,2010,2010,30,Motor cycles,Kilometres,3238
THA10C3,Average Kilometres Travelled,2010,2010,40,Tractors & Machinery,Kilometres,17536
THA10C3,Average Kilometres Travelled,2010,2010,50,Small PSVs,Kilometres,33804
THA10C3,Average Kilometres Travelled,2010,2010,60,Large PSVs,Kilometres,36984
THA10C3,Average Kilometres Travelled,2010,2010,70,Exempt vehicles,Kilometres,18129
THA10C3,Average Kilometres Travelled,2010,2010,80,Other vehicles,Kilometres,10627
THA10C3,Average Kilometres Travelled,2011,2011,-,All vehicle types,Kilometres,17227
THA10C3,Average Kilometres Travelled,2011,2011,10,Private cars,Kilometres,16771
THA10C3,Average Kilometres Travelled,2011,2011,20,Goods vehicles,Kilometres,20487
THA10C3,Average Kilometres Travelled,2011,2011,30,Motor cycles,Kilometres,3125
THA10C3,Average Kilometres Travelled,2011,2011,40,Tractors & Machinery,Kilometres,17480
THA10C3,Average Kilometres Travelled,2011,2011,50,Small PSVs,Kilometres,37233
THA10C3,Average Kilometres Travelled,2011,2011,60,Large PSVs,Kilometres,37578
THA10C3,Average Kilometres Travelled,2011,2011,70,Exempt vehicles,Kilometres,17556
THA10C3,Average Kilometres Travelled,2011,2011,80,Other vehicles,Kilometres,8954
THA10C3,Average Kilometres Travelled,2012,2012,-,All vehicle types,Kilometres,16784
THA10C3,Average Kilometres Travelled,2012,2012,10,Private cars,Kilometres,16388
THA10C3,Average Kilometres Travelled,2012,2012,20,Goods vehicles,Kilometres,19711
THA10C3,Average Kilometres Travelled,2012,2012,30,Motor cycles,Kilometres,2996
THA10C3,Average Kilometres Travelled,2012,2012,40,Tractors & Machinery,Kilometres,18633
THA10C3,Average Kilometres Travelled,2012,2012,50,Small PSVs,Kilometres,34698
THA10C3,Average Kilometres Travelled,2012,2012,60,Large PSVs,Kilometres,36148
THA10C3,Average Kilometres Travelled,2012,2012,70,Exempt vehicles,Kilometres,17427
THA10C3,Average Kilometres Travelled,2012,2012,80,Other vehicles,Kilometres,7884
THA10C3,Average Kilometres Travelled,2013,2013,-,All vehicle types,Kilometres,16949
THA10C3,Average Kilometres Travelled,2013,2013,10,Private cars,Kilometres,16736
THA10C3,Average Kilometres Travelled,2013,2013,20,Goods vehicles,Kilometres,20220
THA10C3,Average Kilometres Travelled,2013,2013,30,Motor cycles,Kilometres,2887
THA10C3,Average Kilometres Travelled,2013,2013,40,Tractors & Machinery,Kilometres,15665
THA10C3,Average Kilometres Travelled,2013,2013,50,Small PSVs,Kilometres,36994
THA10C3,Average Kilometres Travelled,2013,2013,60,Large PSVs,Kilometres,36014
THA10C3,Average Kilometres Travelled,2013,2013,70,Exempt vehicles,Kilometres,16880
THA10C3,Average Kilometres Travelled,2013,2013,80,Other vehicles,Kilometres,5981
THA10C3,Average Kilometres Travelled,2014,2014,-,All vehicle types,Kilometres,17384
THA10C3,Average Kilometres Travelled,2014,2014,10,Private cars,Kilometres,16740
THA10C3,Average Kilometres Travelled,2014,2014,20,Goods vehicles,Kilometres,22923
THA10C3,Average Kilometres Travelled,2014,2014,30,Motor cycles,Kilometres,2835
THA10C3,Average Kilometres Travelled,2014,2014,40,Tractors & Machinery,Kilometres,17228
THA10C3,Average Kilometres Travelled,2014,2014,50,Small PSVs,Kilometres,37041
THA10C3,Average Kilometres Travelled,2014,2014,60,Large PSVs,Kilometres,35793
THA10C3,Average Kilometres Travelled,2014,2014,70,Exempt vehicles,Kilometres,17519
THA10C3,Average Kilometres Travelled,2014,2014,80,Other vehicles,Kilometres,8646
THA10C3,Average Kilometres Travelled,2015,2015,-,All vehicle types,Kilometres,17790
THA10C3,Average Kilometres Travelled,2015,2015,10,Private cars,Kilometres,17573
THA10C3,Average Kilometres Travelled,2015,2015,20,Goods vehicles,Kilometres,21519
THA10C3,Average Kilometres Travelled,2015,2015,30,Motor cycles,Kilometres,2775
THA10C3,Average Kilometres Travelled,2015,2015,40,Tractors & Machinery,Kilometres,17298
THA10C3,Average Kilometres Travelled,2015,2015,50,Small PSVs,Kilometres,38099
THA10C3,Average Kilometres Travelled,2015,2015,60,Large PSVs,Kilometres,34662
THA10C3,Average Kilometres Travelled,2015,2015,70,Exempt vehicles,Kilometres,16580
THA10C3,Average Kilometres Travelled,2015,2015,80,Other vehicles,Kilometres,6442
THA10C3,Average Kilometres Travelled,2016,2016,-,All vehicle types,Kilometres,18158
THA10C3,Average Kilometres Travelled,2016,2016,10,Private cars,Kilometres,17968
THA10C3,Average Kilometres Travelled,2016,2016,20,Goods vehicles,Kilometres,21896
THA10C3,Average Kilometres Travelled,2016,2016,30,Motor cycles,Kilometres,2770
THA10C3,Average Kilometres Travelled,2016,2016,40,Tractors & Machinery,Kilometres,17677
THA10C3,Average Kilometres Travelled,2016,2016,50,Small PSVs,Kilometres,39443
THA10C3,Average Kilometres Travelled,2016,2016,60,Large PSVs,Kilometres,34526
THA10C3,Average Kilometres Travelled,2016,2016,70,Exempt vehicles,Kilometres,16498
THA10C3,Average Kilometres Travelled,2016,2016,80,Other vehicles,Kilometres,5970
THA10C3,Average Kilometres Travelled,2017,2017,-,All vehicle types,Kilometres,18160
THA10C3,Average Kilometres Travelled,2017,2017,10,Private cars,Kilometres,17881
THA10C3,Average Kilometres Travelled,2017,2017,20,Goods vehicles,Kilometres,22407
THA10C3,Average Kilometres Travelled,2017,2017,30,Motor cycles,Kilometres,2753
THA10C3,Average Kilometres Travelled,2017,2017,40,Tractors & Machinery,Kilometres,17826
THA10C3,Average Kilometres Travelled,2017,2017,50,Small PSVs,Kilometres,39845
THA10C3,Average Kilometres Travelled,2017,2017,60,Large PSVs,Kilometres,35795
THA10C3,Average Kilometres Travelled,2017,2017,70,Exempt vehicles,Kilometres,16105
THA10C3,Average Kilometres Travelled,2017,2017,80,Other vehicles,Kilometres,6025
THA10C3,Average Kilometres Travelled,2018,2018,-,All vehicle types,Kilometres,17422
THA10C3,Average Kilometres Travelled,2018,2018,10,Private cars,Kilometres,16990
THA10C3,Average Kilometres Travelled,2018,2018,20,Goods vehicles,Kilometres,22263
THA10C3,Average Kilometres Travelled,2018,2018,30,Motor cycles,Kilometres,2731
THA10C3,Average Kilometres Travelled,2018,2018,40,Tractors & Machinery,Kilometres,17300
THA10C3,Average Kilometres Travelled,2018,2018,50,Small PSVs,Kilometres,39501
THA10C3,Average Kilometres Travelled,2018,2018,60,Large PSVs,Kilometres,36095
THA10C3,Average Kilometres Travelled,2018,2018,70,Exempt vehicles,Kilometres,15490
THA10C3,Average Kilometres Travelled,2018,2018,80,Other vehicles,Kilometres,5789
THA10C3,Average Kilometres Travelled,2019,2019,-,All vehicle types,Kilometres,16867
THA10C3,Average Kilometres Travelled,2019,2019,10,Private cars,Kilometres,16352
THA10C3,Average Kilometres Travelled,2019,2019,20,Goods vehicles,Kilometres,22121
THA10C3,Average Kilometres Travelled,2019,2019,30,Motor cycles,Kilometres,2741
THA10C3,Average Kilometres Travelled,2019,2019,40,Tractors & Machinery,Kilometres,16653
THA10C3,Average Kilometres Travelled,2019,2019,50,Small PSVs,Kilometres,39504
THA10C3,Average Kilometres Travelled,2019,2019,60,Large PSVs,Kilometres,34965
THA10C3,Average Kilometres Travelled,2019,2019,70,Exempt vehicles,Kilometres,14799
THA10C3,Average Kilometres Travelled,2019,2019,80,Other vehicles,Kilometres,5592
THA10C3,Average Kilometres Travelled,2020,2020,-,All vehicle types,Kilometres,12723
THA10C3,Average Kilometres Travelled,2020,2020,10,Private cars,Kilometres,11803
THA10C3,Average Kilometres Travelled,2020,2020,20,Goods vehicles,Kilometres,19571
THA10C3,Average Kilometres Travelled,2020,2020,30,Motor cycles,Kilometres,2328
THA10C3,Average Kilometres Travelled,2020,2020,40,Tractors & Machinery,Kilometres,15078
THA10C3,Average Kilometres Travelled,2020,2020,50,Small PSVs,Kilometres,27626
THA10C3,Average Kilometres Travelled,2020,2020,60,Large PSVs,Kilometres,24976
THA10C3,Average Kilometres Travelled,2020,2020,70,Exempt vehicles,Kilometres,10953
THA10C3,Average Kilometres Travelled,2020,2020,80,Other vehicles,Kilometres,4165
THA10C3,Average Kilometres Travelled,2021,2021,-,All vehicle types,Kilometres,14434
THA10C3,Average Kilometres Travelled,2021,2021,10,Private cars,Kilometres,13436
THA10C3,Average Kilometres Travelled,2021,2021,20,Goods vehicles,Kilometres,23059
THA10C3,Average Kilometres Travelled,2021,2021,30,Motor cycles,Kilometres,2421
THA10C3,Average Kilometres Travelled,2021,2021,40,Tractors & Machinery,Kilometres,14489
THA10C3,Average Kilometres Travelled,2021,2021,50,Small PSVs,Kilometres,25470
THA10C3,Average Kilometres Travelled,2021,2021,60,Large PSVs,Kilometres,24469
THA10C3,Average Kilometres Travelled,2021,2021,70,Exempt vehicles,Kilometres,12717
THA10C3,Average Kilometres Travelled,2021,2021,80,Other vehicles,Kilometres,4841
THA10C3,Average Kilometres Travelled,2022,2022,-,All vehicle types,Kilometres,16261
THA10C3,Average Kilometres Travelled,2022,2022,10,Private cars,Kilometres,15423
THA10C3,Average Kilometres Travelled,2022,2022,20,Goods vehicles,Kilometres,24131
THA10C3,Average Kilometres Travelled,2022,2022,30,Motor cycles,Kilometres,2425
THA10C3,Average Kilometres Travelled,2022,2022,40,Tractors & Machinery,Kilometres,15628
THA10C3,Average Kilometres Travelled,2022,2022,50,Small PSVs,Kilometres,35393
THA10C3,Average Kilometres Travelled,2022,2022,60,Large PSVs,Kilometres,28872
THA10C3,Average Kilometres Travelled,2022,2022,70,Exempt vehicles,Kilometres,14459
THA10C3,Average Kilometres Travelled,2022,2022,80,Other vehicles,Kilometres,5691
THA10C3,Average Kilometres Travelled,2023,2023,-,All vehicle types,Kilometres,15854
THA10C3,Average Kilometres Travelled,2023,2023,10,Private cars,Kilometres,15196
THA10C3,Average Kilometres Travelled,2023,2023,20,Goods vehicles,Kilometres,22207
THA10C3,Average Kilometres Travelled,2023,2023,30,Motor cycles,Kilometres,2648
THA10C3,Average Kilometres Travelled,2023,2023,40,Tractors & Machinery,Kilometres,15558
THA10C3,Average Kilometres Travelled,2023,2023,50,Small PSVs,Kilometres,38785
THA10C3,Average Kilometres Travelled,2023,2023,60,Large PSVs,Kilometres,35147
THA10C3,Average Kilometres Travelled,2023,2023,70,Exempt vehicles,Kilometres,13865
THA10C3,Average Kilometres Travelled,2023,2023,80,Other vehicles,Kilometres,5304
