Statistic Label,Year,Type of Vehicle,UNIT,VALUE,,,,,
Vehicle Population,2010,Tractors & Machinery,Number,72014,,,,,
Vehicle Population,2010,Small PSVs,Number,27578,,,,,
Vehicle Population,2010,Large PSVs,Number,8373,,,,,
Vehicle Population,2010,Exempt vehicles,Number,25587,,,,,
Vehicle Population,2010,Other vehicles,Number,44215,,,,,
Vehicle Population,2011,All vehicle types,Number,2419523,,,,,
Vehicle Population,2011,Private cars,Number,1886421,,,,,
Vehicle Population,2011,Goods vehicles,Number,319530,,,,,
Vehicle Population,2011,Motor cycles,Number,36531,,,,,
Vehicle Population,2011,Tractors & Machinery,Number,70463,,,,,
Vehicle Population,2011,Small PSVs,Number,26042,,,,,
Vehicle Population,2011,Large PSVs,Number,8203,,,,,
Vehicle Population,2011,Exempt vehicles,Number,26173,,,,,
Vehicle Population,2011,Other vehicles,Number,46160,,,,,
Vehicle Population,2012,All vehicle types,Number,2421798,,,,,
Vehicle Population,2012,Private cars,Number,1896184,,,,,
Vehicle Population,2012,Goods vehicles,Number,312866,,,,,
Vehicle Population,2012,Motor cycles,Number,35438,,,,,
Vehicle Population,2012,Tractors & Machinery,Number,70288,,,,,
Vehicle Population,2012,Small PSVs,Number,24779,,,,,
Vehicle Population,2012,Large PSVs,Number,8241,,,,,
Vehicle Population,2012,Exempt vehicles,Number,26095,,,,,
Vehicle Population,2012,Other vehicles,Number,47906,,,,,
Vehicle Population,2013,All vehicle types,Number,2463697,,,,,
Vehicle Population,2013,Private cars,Number,1913939,,,,,
Vehicle Population,2013,Goods vehicles,Number,312578,,,,,
Vehicle Population,2013,Motor cycles,Number,35670,,,,,
Vehicle Population,2013,Tractors & Machinery,Number,85801,,,,,
Vehicle Population,2013,Small PSVs,Number,23605,,,,,
Vehicle Population,2013,Large PSVs,Number,8307,,,,,
Vehicle Population,2013,Exempt vehicles,Number,26164,,,,,
Vehicle Population,2013,Other vehicles,Number,57633,,,,,
Vehicle Population,2014,All vehicle types,Number,2521433,,,,,
Vehicle Population,2014,Private cars,Number,1950080,,,,,
Vehicle Population,2014,Goods vehicles,Number,316687,,,,,
Vehicle Population,2014,Motor cycles,Number,36429,,,,,
Vehicle Population,2014,Tractors & Machinery,Number,95593,,,,,
Vehicle Population,2014,Small PSVs,Number,22890,,,,,
Vehicle Population,2014,Large PSVs,Number,8637,,,,,
Vehicle Population,2014,Exempt vehicles,Number,26211,,,,,
Vehicle Population,2014,Other vehicles,Number,64906,,,,,
Vehicle Population,2015,All vehicle types,Number,2573961,,,,,
Vehicle Population,2015,Private cars,Number,1992819,,,,,
Vehicle Population,2015,Goods vehicles,Number,326277,,,,,
Vehicle Population,2015,Motor cycles,Number,36755,,,,,
Vehicle Population,2015,Tractors & Machinery,Number,92367,,,,,
Vehicle Population,2015,Small PSVs,Number,22428,,,,,
Vehicle Population,2015,Large PSVs,Number,9019,,,,,
Vehicle Population,2015,Exempt vehicles,Number,27019,,,,,
Vehicle Population,2015,Other vehicles,Number,67278,,,,,
Vehicle Population,2016,All vehicle types,Number,2631093,,,,,
Vehicle Population,2016,Private cars,Number,2038268,,,,,
Vehicle Population,2016,Goods vehicles,Number,338431,,,,,
Vehicle Population,2016,Motor cycles,Number,37461,,,,,
Vehicle Population,2016,Tractors & Machinery,Number,89237,,,,,
Vehicle Population,2016,Small PSVs,Number,21935,,,,,
Vehicle Population,2016,Large PSVs,Number,9539,,,,,
Vehicle Population,2016,Exempt vehicles,Number,27742,,,,,
Vehicle Population,2016,Other vehicles,Number,68479,,,,,
Vehicle Population,2017,All vehicle types,Number,2684730,,,,,
Vehicle Population,2017,Private cars,Number,2079345,,,,,
Vehicle Population,2017,Goods vehicles,Number,347447,,,,,
Vehicle Population,2017,Motor cycles,Number,39046,,,,,
Vehicle Population,2017,Tractors & Machinery,Number,88378,,,,,
Vehicle Population,2017,Small PSVs,Number,21544,,,,,
Vehicle Population,2017,Large PSVs,Number,10090,,,,,
Vehicle Population,2017,Exempt vehicles,Number,28702,,,,,
Vehicle Population,2017,Other vehicles,Number,70178,,,,,
Vehicle Population,2018,All vehicle types,Number,2729001,,,,,
Vehicle Population,2018,Private cars,Number,2117463,,,,,
Vehicle Population,2018,Goods vehicles,Number,354458,,,,,
Vehicle Population,2018,Motor cycles,Number,39851,,,,,
Vehicle Population,2018,Tractors & Machinery,Number,85820,,,,,
Vehicle Population,2018,Small PSVs,Number,21319,,,,,
Vehicle Population,2018,Large PSVs,Number,10695,,,,,
Vehicle Population,2018,Exempt vehicles,Number,29040,,,,,
Vehicle Population,2018,Other vehicles,Number,70355,,,,,
Vehicle Population,2019,All vehicle types,Number,2790778,,,,,
Vehicle Population,2019,Private cars,Number,2168099,,,,,
Vehicle Population,2019,Goods vehicles,Number,362699,,,,,
Vehicle Population,2019,Motor cycles,Number,41471,,,,,
Vehicle Population,2019,Tractors & Machinery,Number,84170,,,,,
Vehicle Population,2019,Small PSVs,Number,21457,,,,,
Vehicle Population,2019,Large PSVs,Number,11206,,,,,
Vehicle Population,2019,Exempt vehicles,Number,29619,,,,,
