Statistic Label,Year,Type of Vehicle,UNIT,VALUE,,,,,
Average Kilometres Travelled,2001,Private cars,Kilometres,17707,,,,,
Average Kilometres Travelled,2001,Goods vehicles,Kilometres,23724,,,,,
Average Kilometres Travelled,2001,Motor cycles,Kilometres,3733,,,,,
Average Kilometres Travelled,2001,Tractors & Machinery,Kilometres,18973,,,,,
Average Kilometres Travelled,2001,Small PSVs,Kilometres,39623,,,,,
Average Kilometres Travelled,2001,Large PSVs,Kilometres,38345,,,,,
Average Kilometres Travelled,2001,Exempt vehicles,Kilometres,18024,,,,,
Average Kilometres Travelled,2001,Other vehicles,Kilometres,11164,,,,,
Average Kilometres Travelled,2002,All vehicle types,Kilometres,18287,,,,,
Average Kilometres Travelled,2002,Private cars,Kilometres,17519,,,,,
Average Kilometres Travelled,2002,Goods vehicles,Kilometres,23472,,,,,
Average Kilometres Travelled,2002,Motor cycles,Kilometres,3694,,,,,
Average Kilometres Travelled,2002,Tractors & Machinery,Kilometres,18771,,,,,
Average Kilometres Travelled,2002,Small PSVs,Kilometres,39202,,,,,
Average Kilometres Travelled,2002,Large PSVs,Kilometres,37938,,,,,
Average Kilometres Travelled,2002,Exempt vehicles,Kilometres,17833,,,,,
Average Kilometres Travelled,2002,Other vehicles,Kilometres,11045,,,,,
Average Kilometres Travelled,2003,All vehicle types,Kilometres,18557,,,,,
Average Kilometres Travelled,2003,Private cars,Kilometres,17754,,,,,
Average Kilometres Travelled,2003,Goods vehicles,Kilometres,23786,,,,,
Average Kilometres Travelled,2003,Motor cycles,Kilometres,3743,,,,,
Average Kilometres Travelled,2003,Tractors & Machinery,Kilometres,19022,,,,,
Average Kilometres Travelled,2003,Small PSVs,Kilometres,39727,,,,,
Average Kilometres Travelled,2003,Large PSVs,Kilometres,38446,,,,,
Average Kilometres Travelled,2003,Exempt vehicles,Kilometres,18071,,,,,
Average Kilometres Travelled,2003,Other vehicles,Kilometres,11193,,,,,
Average Kilometres Travelled,2004,All vehicle types,Kilometres,18953,,,,,
Average Kilometres Travelled,2004,Private cars,Kilometres,18117,,,,,
Average Kilometres Travelled,2004,Goods vehicles,Kilometres,24272,,,,,
Average Kilometres Travelled,2004,Motor cycles,Kilometres,3820,,,,,
Average Kilometres Travelled,2004,Tractors & Machinery,Kilometres,19411,,,,,
Average Kilometres Travelled,2004,Small PSVs,Kilometres,40539,,,,,
Average Kilometres Travelled,2004,Large PSVs,Kilometres,39232,,,,,
Average Kilometres Travelled,2004,Exempt vehicles,Kilometres,18441,,,,,
Average Kilometres Travelled,2004,Other vehicles,Kilometres,11422,,,,,
Average Kilometres Travelled,2005,All vehicle types,Kilometres,18806,,,,,
Average Kilometres Travelled,2005,Private cars,Kilometres,17960,,,,,
Average Kilometres Travelled,2005,Goods vehicles,Kilometres,24063,,,,,
Average Kilometres Travelled,2005,Motor cycles,Kilometres,3787,,,,,
Average Kilometres Travelled,2005,Tractors & Machinery,Kilometres,19243,,,,,
Average Kilometres Travelled,2005,Small PSVs,Kilometres,40189,,,,,
Average Kilometres Travelled,2005,Large PSVs,Kilometres,38893,,,,,
Average Kilometres Travelled,2005,Exempt vehicles,Kilometres,18281,,,,,
Average Kilometres Travelled,2005,Other vehicles,Kilometres,11323,,,,,
Average Kilometres Travelled,2006,All vehicle types,Kilometres,18406,,,,,
Average Kilometres Travelled,2006,Private cars,Kilometres,17552,,,,,
Average Kilometres Travelled,2006,Goods vehicles,Kilometres,23516,,,,,
Average Kilometres Travelled,2006,Motor cycles,Kilometres,3701,,,,,
Average Kilometres Travelled,2006,Tractors & Machinery,Kilometres,18806,,,,,
Average Kilometres Travelled,2006,Small PSVs,Kilometres,39275,,,,,
Average Kilometres Travelled,2006,Large PSVs,Kilometres,38009,,,,,
Average Kilometres Travelled,2006,Exempt vehicles,Kilometres,17866,,,,,
Average Kilometres Travelled,2006,Other vehicles,Kilometres,11065,,,,,
Average Kilometres Travelled,2007,All vehicle types,Kilometres,18067,,,,,
Average Kilometres Travelled,2007,Private cars,Kilometres,17200,,,,,
Average Kilometres Travelled,2007,Goods vehicles,Kilometres,23044,,,,,
Average Kilometres Travelled,2007,Motor cycles,Kilometres,3626,,,,,
Average Kilometres Travelled,2007,Tractors & Machinery,Kilometres,18429,,,,,
Average Kilometres Travelled,2007,Small PSVs,Kilometres,38487,,,,,
Average Kilometres Travelled,2007,Large PSVs,Kilometres,37246,,,,,
Average Kilometres Travelled,2007,Exempt vehicles,Kilometres,17507,,,,,
Average Kilometres Travelled,2007,Other vehicles,Kilometres,10844,,,,,
Average Kilometres Travelled,2008,All vehicle types,Kilometres,17472,,,,,
Average Kilometres Travelled,2008,Private cars,Kilometres,16272,,,,,
Average Kilometres Travelled,2008,Goods vehicles,Kilometres,22432,,,,,
Average Kilometres Travelled,2008,Motor cycles,Kilometres,4186,,,,,
Average Kilometres Travelled,2008,Tractors & Machinery,Kilometres,24452,,,,,
Average Kilometres Travelled,2008,Small PSVs,Kilometres,36758,,,,,
Average Kilometres Travelled,2008,Large PSVs,Kilometres,35920,,,,,
Average Kilometres Travelled,2008,Exempt vehicles,Kilometres,16888,,,,,
Average Kilometres Travelled,2008,Other vehicles,Kilometres,12570,,,,,
Average Kilometres Travelled,2009,All vehicle types,Kilometres,18197,,,,,
Average Kilometres Travelled,2009,Private cars,Kilometres,17437,,,,,
Average Kilometres Travelled,2009,Goods vehicles,Kilometres,22789,,,,,
Average Kilometres Travelled,2009,Motor cycles,Kilometres,3472,,,,,
Average Kilometres Travelled,2009,Tractors & Machinery,Kilometres,18019,,,,,
Average Kilometres Travelled,2009,Small PSVs,Kilometres,32630,,,,,
Average Kilometres Travelled,2009,Large PSVs,Kilometres,40255,,,,,
Average Kilometres Travelled,2009,Exempt vehicles,Kilometres,19670,,,,,
Average Kilometres Travelled,2009,Other vehicles,Kilometres,13578,,,,,
Average Kilometres Travelled,2010,All vehicle types,Kilometres,17297,,,,,
Average Kilometres Travelled,2010,Private cars,Kilometres,16789,,,,,
Average Kilometres Travelled,2010,Goods vehicles,Kilometres,20707,,,,,
Average Kilometres Travelled,2010,Motor cycles,Kilometres,3238,,,,,
Average Kilometres Travelled,2010,Tractors & Machinery,Kilometres,17536,,,,,
Average Kilometres Travelled,2010,Small PSVs,Kilometres,33804,,,,,
Average Kilometres Travelled,2010,Large PSVs,Kilometres,36984,,,,,
Average Kilometres Travelled,2010,Exempt vehicles,Kilometres,18129,,,,,
Average Kilometres Travelled,2010,Other vehicles,Kilometres,10627,,,,,
Average Kilometres Travelled,2011,All vehicle types,Kilometres,17227,,,,,
Average Kilometres Travelled,2011,Private cars,Kilometres,16771,,,,,
Average Kilometres Travelled,2011,Goods vehicles,Kilometres,20487,,,,,
Average Kilometres Travelled,2011,Motor cycles,Kilometres,3125,,,,,
Average Kilometres Travelled,2011,Tractors & Machinery,Kilometres,17480,,,,,
Average Kilometres Travelled,2011,Small PSVs,Kilometres,37233,,,,,
Average Kilometres Travelled,2011,Large PSVs,Kilometres,37578,,,,,
Average Kilometres Travelled,2011,Exempt vehicles,Kilometres,17556,,,,,
Average Kilometres Travelled,2011,Other vehicles,Kilometres,8954,,,,,
Average Kilometres Travelled,2012,All vehicle types,Kilometres,16784,,,,,
Average Kilometres Travelled,2012,Private cars,Kilometres,16388,,,,,
Average Kilometres Travelled,2012,Goods vehicles,Kilometres,19711,,,,,
Average Kilometres Travelled,2012,Motor cycles,Kilometres,2996,,,,,
Average Kilometres Travelled,2012,Tractors & Machinery,Kilometres,18633,,,,,
Average Kilometres Travelled,2012,Small PSVs,Kilometres,34698,,,,,
Average Kilometres Travelled,2012,Large PSVs,Kilometres,36148,,,,,
Average Kilometres Travelled,2012,Exempt vehicles,Kilometres,17427,,,,,
Average Kilometres Travelled,2012,Other vehicles,Kilometres,7884,,,,,
Average Kilometres Travelled,2013,All vehicle types,Kilometres,16949,,,,,
Average Kilometres Travelled,2013,Private cars,Kilometres,16736,,,,,
Average Kilometres Travelled,2013,Goods vehicles,Kilometres,20220,,,,,
Average Kilometres Travelled,2013,Motor cycles,Kilometres,2887,,,,,
Average Kilometres Travelled,2013,Tractors & Machinery,Kilometres,15665,,,,,
Average Kilometres Travelled,2013,Small PSVs,Kilometres,36994,,,,,
Average Kilometres Travelled,2013,Large PSVs,Kilometres,36014,,,,,
Average Kilometres Travelled,2013,Exempt vehicles,Kilometres,16880,,,,,
Average Kilometres Travelled,2013,Other vehicles,Kilometres,5981,,,,,
Average Kilometres Travelled,2014,All vehicle types,Kilometres,17384,,,,,
Average Kilometres Travelled,2014,Private cars,Kilometres,16740,,,,,
Average Kilometres Travelled,2014,Goods vehicles,Kilometres,22923,,,,,
Average Kilometres Travelled,2014,Motor cycles,Kilometres,2835,,,,,
Average Kilometres Travelled,2014,Tractors & Machinery,Kilometres,17228,,,,,
Average Kilometres Travelled,2014,Small PSVs,Kilometres,37041,,,,,
Average Kilometres Travelled,2014,Large PSVs,Kilometres,35793,,,,,
Average Kilometres Travelled,2014,Exempt vehicles,Kilometres,17519,,,,,
Average Kilometres Travelled,2014,Other vehicles,Kilometres,8646,,,,,
Average Kilometres Travelled,2015,All vehicle types,Kilometres,17790,,,,,
Average Kilometres Travelled,2015,Private cars,Kilometres,17573,,,,,
Average Kilometres Travelled,2015,Goods vehicles,Kilometres,21519,,,,,
Average Kilometres Travelled,2015,Motor cycles,Kilometres,2775,,,,,
Average Kilometres Travelled,2015,Tractors & Machinery,Kilometres,17298,,,,,
Average Kilometres Travelled,2015,Small PSVs,Kilometres,38099,,,,,
Average Kilometres Travelled,2015,Large PSVs,Kilometres,34662,,,,,
Average Kilometres Travelled,2015,Exempt vehicles,Kilometres,16580,,,,,
Average Kilometres Travelled,2015,Other vehicles,Kilometres,6442,,,,,
Average Kilometres Travelled,2016,All vehicle types,Kilometres,18158,,,,,
Average Kilometres Travelled,2016,Private cars,Kilometres,17968,,,,,
Average Kilometres Travelled,2016,Goods vehicles,Kilometres,21896,,,,,
Average Kilometres Travelled,2016,Motor cycles,Kilometres,2770,,,,,
Average Kilometres Travelled,2016,Tractors & Machinery,Kilometres,17677,,,,,
Average Kilometres Travelled,2016,Small PSVs,Kilometres,39443,,,,,
Average Kilometres Travelled,2016,Large PSVs,Kilometres,34526,,,,,
Average Kilometres Travelled,2016,Exempt vehicles,Kilometres,16498,,,,,
Average Kilometres Travelled,2016,Other vehicles,Kilometres,5970,,,,,
Average Kilometres Travelled,2017,All vehicle types,Kilometres,18160,,,,,
Average Kilometres Travelled,2017,Private cars,Kilometres,17881,,,,,
Average Kilometres Travelled,2017,Goods vehicles,Kilometres,22407,,,,,
Average Kilometres Travelled,2017,Motor cycles,Kilometres,2753,,,,,
Average Kilometres Travelled,2017,Tractors & Machinery,Kilometres,17826,,,,,
Average Kilometres Travelled,2017,Small PSVs,Kilometres,39845,,,,,
Average Kilometres Travelled,2017,Large PSVs,Kilometres,35795,,,,,
Average Kilometres Travelled,2017,Exempt vehicles,Kilometres,16105,,,,,
Average Kilometres Travelled,2017,Other vehicles,Kilometres,6025,,,,,
Average Kilometres Travelled,2018,All vehicle types,Kilometres,17422,,,,,
Average Kilometres Travelled,2018,Private cars,Kilometres,16990,,,,,
Average Kilometres Travelled,2018,Goods vehicles,Kilometres,22263,,,,,
Average Kilometres Travelled,2018,Motor cycles,Kilometres,2731,,,,,
Average Kilometres Travelled,2018,Tractors & Machinery,Kilometres,17300,,,,,
Average Kilometres Travelled,2018,Small PSVs,Kilometres,39501,,,,,
Average Kilometres Travelled,2018,Large PSVs,Kilometres,36095,,,,,
Average Kilometres Travelled,2018,Exempt vehicles,Kilometres,15490,,,,,
Average Kilometres Travelled,2018,Other vehicles,Kilometres,5789,,,,,
Average Kilometres Travelled,2019,All vehicle types,Kilometres,16867,,,,,
Average Kilometres Travelled,2019,Private cars,Kilometres,16352,,,,,
Average Kilometres Travelled,2019,Goods vehicles,Kilometres,22121,,,,,
Average Kilometres Travelled,2019,Motor cycles,Kilometres,2741,,,,,
Average Kilometres Travelled,2019,Tractors & Machinery,Kilometres,16653,,,,,
Average Kilometres Travelled,2019,Small PSVs,Kilometres,39504,,,,,
Average Kilometres Travelled,2019,Large PSVs,Kilometres,34965,,,,,
Average Kilometres Travelled,2019,Exempt vehicles,Kilometres,14799,,,,,
Average Kilometres Travelled,2019,Other vehicles,Kilometres,5592,,,,,
Average Kilometres Travelled,2020,All vehicle types,Kilometres,12723,,,,,
Average Kilometres Travelled,2020,Private cars,Kilometres,11803,,,,,
Average Kilometres Travelled,2020,Goods vehicles,Kilometres,19571,,,,,
Average Kilometres Travelled,2020,Motor cycles,Kilometres,2328,,,,,
Average Kilometres Travelled,2020,Tractors & Machinery,Kilometres,15078,,,,,
Average Kilometres Travelled,2020,Small PSVs,Kilometres,27626,,,,,
Average Kilometres Travelled,2020,Large PSVs,Kilometres,24976,,,,,
Average Kilometres Travelled,2020,Exempt vehicles,Kilometres,10953,,,,,
Average Kilometres Travelled,2020,Other vehicles,Kilometres,4165,,,,,
Average Kilometres Travelled,2021,All vehicle types,Kilometres,14434,,,,,
Average Kilometres Travelled,2021,Private cars,Kilometres,13436,,,,,
Average Kilometres Travelled,2021,Goods vehicles,Kilometres,23059,,,,,
Average Kilometres Travelled,2021,Motor cycles,Kilometres,2421,,,,,
Average Kilometres Travelled,2021,Tractors & Machinery,Kilometres,14489,,,,,
Average Kilometres Travelled,2021,Small PSVs,Kilometres,25470,,,,,
Average Kilometres Travelled,2021,Large PSVs,Kilometres,24469,,,,,
Average Kilometres Travelled,2021,Exempt vehicles,Kilometres,12717,,,,,
Average Kilometres Travelled,2021,Other vehicles,Kilometres,4841,,,,,
Average Kilometres Travelled,2022,All vehicle types,Kilometres,16261,,,,,
Average Kilometres Travelled,2022,Private cars,Kilometres,15423,,,,,
Average Kilometres Travelled,2022,Goods vehicles,Kilometres,24131,,,,,
Average Kilometres Travelled,2022,Motor cycles,Kilometres,2425,,,,,
Average Kilometres Travelled,2022,Tractors & Machinery,Kilometres,15628,,,,,
Average Kilometres Travelled,2022,Small PSVs,Kilometres,35393,,,,,
Average Kilometres Travelled,2022,Large PSVs,Kilometres,28872,,,,,
Average Kilometres Travelled,2022,Exempt vehicles,Kilometres,14459,,,,,
Average Kilometres Travelled,2022,Other vehicles,Kilometres,5691,,,,,
Average Kilometres Travelled,2023,All vehicle types,Kilometres,15854,,,,,
Average Kilometres Travelled,2023,Private cars,Kilometres,15196,,,,,
Average Kilometres Travelled,2023,Goods vehicles,Kilometres,22207,,,,,
Average Kilometres Travelled,2023,Motor cycles,Kilometres,2648,,,,,
Average Kilometres Travelled,2023,Tractors & Machinery,Kilometres,15558,,,,,
Average Kilometres Travelled,2023,Small PSVs,Kilometres,38785,,,,,
Average Kilometres Travelled,2023,Large PSVs,Kilometres,35147,,,,,
Average Kilometres Travelled,2023,Exempt vehicles,Kilometres,13865,,,,,
Average Kilometres Travelled,2023,Other vehicles,Kilometres,5304,,,,,
