Statistic Label,Year,Hour of Day,UNIT,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2005,All hours,Number,360,,,,,,,,,,,,,,,,,,,,Statistic Label,Fatal Collisions,,,,,Statistic Label,Fatal Collisions
Injury Collisions,2016,13,Number,356,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,14,Number,338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,15,Number,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,16,Number,430,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,17,Number,488,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,18,Number,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,19,Number,340,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,20,Number,239,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,21,Number,193,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,22,Number,165,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2016,23,Number,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,All hours,Number,5914,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,12 midnight,Number,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,1,Number,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,2,Number,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,3,Number,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,4,Number,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,5,Number,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,6,Number,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,7,Number,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,8,Number,338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,9,Number,283,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,10,Number,294,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,11,Number,277,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,12,Number,303,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,13,Number,352,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,14,Number,352,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,15,Number,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,16,Number,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,17,Number,556,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,18,Number,451,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,19,Number,375,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,20,Number,272,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,21,Number,179,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,22,Number,154,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2017,23,Number,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,All hours,Number,5974,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,12 midnight,Number,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,1,Number,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,2,Number,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,3,Number,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,4,Number,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,5,Number,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,6,Number,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,7,Number,247,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,8,Number,361,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,9,Number,326,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,10,Number,276,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,11,Number,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,12,Number,353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,13,Number,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,14,Number,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,15,Number,413,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,16,Number,448,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,17,Number,504,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,18,Number,429,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,19,Number,357,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,20,Number,271,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,21,Number,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,22,Number,135,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2018,23,Number,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,All hours,Number,5698,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,12 midnight,Number,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,1,Number,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,2,Number,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,3,Number,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,4,Number,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,5,Number,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,6,Number,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,7,Number,260,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,8,Number,386,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,9,Number,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,10,Number,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,11,Number,266,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,12,Number,330,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,13,Number,343,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,14,Number,374,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,15,Number,408,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,16,Number,434,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,17,Number,491,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,18,Number,424,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,19,Number,320,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,20,Number,239,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,21,Number,177,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,22,Number,143,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2019,23,Number,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,All hours,Number,4293,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,12 midnight,Number,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,1,Number,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,2,Number,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,3,Number,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,4,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,5,Number,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,6,Number,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,7,Number,158,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,8,Number,230,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,9,Number,176,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,10,Number,215,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,11,Number,249,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,12,Number,244,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,13,Number,278,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,14,Number,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,15,Number,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,16,Number,331,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,17,Number,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,18,Number,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,19,Number,276,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,20,Number,206,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,21,Number,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,22,Number,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2020,23,Number,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,All hours,Number,4789,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,12 midnight,Number,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,1,Number,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,2,Number,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,3,Number,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,4,Number,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,5,Number,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,6,Number,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,7,Number,176,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,8,Number,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,9,Number,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,10,Number,201,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,11,Number,222,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,12,Number,308,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,13,Number,334,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,14,Number,332,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,15,Number,342,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,16,Number,397,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,17,Number,424,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,18,Number,338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,19,Number,289,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,20,Number,232,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,21,Number,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,22,Number,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2021,23,Number,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,All hours,Number,5568,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,12 midnight,Number,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,1,Number,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,2,Number,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,3,Number,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,4,Number,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,5,Number,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,6,Number,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,7,Number,193,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,8,Number,287,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,9,Number,251,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,10,Number,211,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,11,Number,261,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,12,Number,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,13,Number,346,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,14,Number,388,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,15,Number,421,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,16,Number,452,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,17,Number,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,18,Number,409,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,19,Number,302,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,20,Number,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,21,Number,190,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,22,Number,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2022,23,Number,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,All hours,Number,5352,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,12 midnight,Number,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,1,Number,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,2,Number,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,3,Number,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,4,Number,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,5,Number,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,6,Number,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,7,Number,196,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,8,Number,289,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,9,Number,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,10,Number,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,11,Number,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,12,Number,283,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,13,Number,340,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,14,Number,356,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,15,Number,373,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,16,Number,449,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,17,Number,470,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,18,Number,409,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,19,Number,282,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,20,Number,231,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,21,Number,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,22,Number,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury Collisions,2023,23,Number,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,All hours,Number,6533,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,12 midnight,Number,380,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,1,Number,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,2,Number,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,3,Number,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,4,Number,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,5,Number,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,6,Number,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,7,Number,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,8,Number,351,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,9,Number,260,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,10,Number,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,11,Number,291,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,12,Number,291,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,13,Number,361,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,14,Number,353,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,15,Number,390,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,16,Number,433,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,17,Number,476,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,18,Number,443,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,19,Number,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,20,Number,317,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,21,Number,285,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,22,Number,204,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2005,23,Number,157,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,All hours,Number,6017,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,12 midnight,Number,244,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,1,Number,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,2,Number,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,3,Number,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,4,Number,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,5,Number,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,6,Number,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,7,Number,201,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,8,Number,333,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,9,Number,298,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,10,Number,234,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,11,Number,262,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,12,Number,277,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,13,Number,328,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,14,Number,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,15,Number,372,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,16,Number,374,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,17,Number,516,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,18,Number,409,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,19,Number,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,20,Number,282,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,21,Number,235,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,22,Number,178,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2006,23,Number,146,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,All hours,Number,5467,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,12 midnight,Number,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,1,Number,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,2,Number,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,3,Number,119,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,4,Number,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,5,Number,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,6,Number,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,7,Number,198,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,8,Number,326,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,9,Number,244,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,10,Number,208,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,11,Number,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,12,Number,286,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,13,Number,305,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,14,Number,324,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,15,Number,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,16,Number,346,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,17,Number,430,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,18,Number,390,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,19,Number,330,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,20,Number,252,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,21,Number,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,22,Number,187,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2007,23,Number,134,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,All hours,Number,6736,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,12 midnight,Number,151,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,1,Number,143,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,2,Number,129,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,3,Number,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,4,Number,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,5,Number,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,6,Number,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,7,Number,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,8,Number,377,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,9,Number,333,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,10,Number,291,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,11,Number,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,12,Number,351,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,13,Number,419,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,14,Number,361,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,15,Number,413,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,16,Number,479,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,17,Number,537,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,18,Number,432,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,19,Number,409,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,20,Number,340,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,21,Number,266,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,22,Number,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2008,23,Number,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2009,All hours,Number,6615,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2009,12 midnight,Number,157,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2009,1,Number,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2009,2,Number,133,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2009,3,Number,131,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2009,4,Number,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
