Statistic,Age Group,Sex,Road User Type,UNIT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Killed Casualties,10 - 14 years,Male,All road users,Number,4,1,5,6,2,0,1,0,1,2,1,7,0,2,0,5,1,2,4
Killed Casualties,10 - 14 years,Male,Pedestrians,Number,3,0,3,3,0,0,1,0,0,2,0,2,0,0,0,2,0,0,1
Killed Casualties,10 - 14 years,Male,Pedal cyclists,Number,0,0,2,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Killed Casualties,10 - 14 years,Male,Motor cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,10 - 14 years,Male,All Car users,Number,1,1,0,2,0,0,0,0,0,0,1,2,0,2,0,2,1,1,2
Killed Casualties,10 - 14 years,Male,Car drivers,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
Killed Casualties,10 - 14 years,Male,Car passengers,Number,1,1,0,2,0,0,0,0,0,0,1,2,0,0,0,2,0,0,2
Killed Casualties,10 - 14 years,Male,Other road users,Number,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
Killed Casualties,10 - 14 years,Female,All road users,Number,1,2,2,4,2,1,2,0,0,2,0,0,0,0,1,2,1,1,2
Killed Casualties,10 - 14 years,Female,Pedestrians,Number,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Killed Casualties,10 - 14 years,Female,Pedal cyclists,Number,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Killed Casualties,10 - 14 years,Female,Motor cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,10 - 14 years,Female,All Car users,Number,0,0,1,3,0,0,1,0,0,2,0,0,0,0,0,1,0,1,1
Killed Casualties,10 - 14 years,Female,Car drivers,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
