STATISTIC Label,Year,Road User Type,UNIT,VALUE
Persons Killed,2014,Pedal cyclists,Number,13
Persons Killed,2014,Motor cyclists,Number,24
Persons Killed,2014,All Car users,Number,103
Persons Killed,2014,PSV users,Number,0
Persons Killed,2014,Goods vehicle users,Number,8
Persons Killed,2014,Other road users,Number,
Persons Killed,2014,Other or unknown road users,Number,3
Persons Killed,2015,All road users,Number,162
Persons Killed,2015,Pedestrians,Number,31
Persons Killed,2015,Pedal cyclists,Number,10
Persons Killed,2015,Motor cyclists,Number,22
Persons Killed,2015,All Car users,Number,89
Persons Killed,2015,PSV users,Number,0
Persons Killed,2015,Goods vehicle users,Number,6
Persons Killed,2015,Other road users,Number,
Persons Killed,2015,Other or unknown road users,Number,4
Persons Killed,2016,All road users,Number,182
Persons Killed,2016,Pedestrians,Number,35
Persons Killed,2016,Pedal cyclists,Number,10
Persons Killed,2016,Motor cyclists,Number,22
Persons Killed,2016,All Car users,Number,106
Persons Killed,2016,PSV users,Number,0
Persons Killed,2016,Goods vehicle users,Number,8
Persons Killed,2016,Other road users,Number,
Persons Killed,2016,Other or unknown road users,Number,1
Persons Killed,2017,All road users,Number,154
Persons Killed,2017,Pedestrians,Number,31
Persons Killed,2017,Pedal cyclists,Number,14
Persons Killed,2017,Motor cyclists,Number,19
Persons Killed,2017,All Car users,Number,78
Persons Killed,2017,PSV users,Number,0
Persons Killed,2017,Goods vehicle users,Number,9
Persons Killed,2017,Other road users,Number,
Persons Killed,2017,Other or unknown road users,Number,3
Persons Killed,2018,All road users,Number,134
Persons Killed,2018,Pedestrians,Number,39
Persons Killed,2018,Pedal cyclists,Number,9
Persons Killed,2018,Motor cyclists,Number,15
Persons Killed,2018,All Car users,Number,59
Persons Killed,2018,PSV users,Number,1
Persons Killed,2018,Goods vehicle users,Number,7
Persons Killed,2018,Other road users,Number,
Persons Killed,2018,Other or unknown road users,Number,4
Persons Killed,2019,All road users,Number,140
Persons Killed,2019,Pedestrians,Number,27
Persons Killed,2019,Pedal cyclists,Number,8
Persons Killed,2019,Motor cyclists,Number,16
Persons Killed,2019,All Car users,Number,81
Persons Killed,2019,PSV users,Number,0
Persons Killed,2019,Goods vehicle users,Number,6
Persons Killed,2019,Other road users,Number,
Persons Killed,2019,Other or unknown road users,Number,2
Persons Killed,2020,All road users,Number,141
Persons Killed,2020,Pedestrians,Number,31
Persons Killed,2020,Pedal cyclists,Number,10
Persons Killed,2020,Motor cyclists,Number,17
Persons Killed,2020,All Car users,Number,68
Persons Killed,2020,PSV users,Number,0
Persons Killed,2020,Goods vehicle users,Number,12
Persons Killed,2020,Other road users,Number,
Persons Killed,2020,Other or unknown road users,Number,3
Persons Killed,2021,All road users,Number,132
Persons Killed,2021,Pedestrians,Number,19
Persons Killed,2021,Pedal cyclists,Number,7
Persons Killed,2021,Motor cyclists,Number,22
Persons Killed,2021,All Car users,Number,79
Persons Killed,2021,PSV users,Number,1
Persons Killed,2021,Goods vehicle users,Number,3
Persons Killed,2021,Other road users,Number,
Persons Killed,2021,Other or unknown road users,Number,1
Persons Killed,2022,All road users,Number,152
Persons Killed,2022,Pedestrians,Number,42
Persons Killed,2022,Pedal cyclists,Number,7
Persons Killed,2022,Motor cyclists,Number,23
Persons Killed,2022,All Car users,Number,71
Persons Killed,2022,PSV users,Number,0
Persons Killed,2022,Goods vehicle users,Number,5
Persons Killed,2022,Other road users,Number,
Persons Killed,2022,Other or unknown road users,Number,4
Persons Killed,2023,All road users,Number,179
Persons Killed,2023,Pedestrians,Number,43
Persons Killed,2023,Pedal cyclists,Number,9
Persons Killed,2023,Motor cyclists,Number,25
Persons Killed,2023,All Car users,Number,85
Persons Killed,2023,PSV users,Number,0
Persons Killed,2023,Goods vehicle users,Number,10
Persons Killed,2023,Other road users,Number,
Persons Killed,2023,Other or unknown road users,Number,7
Persons Killed,2024,All road users,Number,171
Persons Killed,2024,Pedestrians,Number,33
Persons Killed,2024,Pedal cyclists,Number,11
Persons Killed,2024,Motor cyclists,Number,17
Persons Killed,2024,All Car users,Number,95
Persons Killed,2024,PSV users,Number,0
Persons Killed,2024,Goods vehicle users,Number,6
Persons Killed,2024,Other road users,Number,
Persons Killed,2024,Other or unknown road users,Number,9
