"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Drivers of Cars Killed in Collisions","2008","55 - 64 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2008","65 years and over","Male","Number","12"
"Drivers of Cars Killed in Collisions","2008","65 years and over","Female","Number","7"
"Drivers of Cars Killed in Collisions","2008","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2008","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2009","All ages","Male","Number","76"
"Drivers of Cars Killed in Collisions","2009","All ages","Female","Number","31"
"Drivers of Cars Killed in Collisions","2009","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2009","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2009","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2009","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2009","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2009","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2009","15 - 17 years","Male","Number","1"
"Drivers of Cars Killed in Collisions","2009","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2009","18 - 20 years","Male","Number","14"
"Drivers of Cars Killed in Collisions","2009","18 - 20 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2009","21 - 24 years","Male","Number","15"
"Drivers of Cars Killed in Collisions","2009","21 - 24 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2009","25 - 34 years","Male","Number","17"
"Drivers of Cars Killed in Collisions","2009","25 - 34 years","Female","Number","8"
"Drivers of Cars Killed in Collisions","2009","35 - 44 years","Male","Number","14"
"Drivers of Cars Killed in Collisions","2009","35 - 44 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2009","45 - 54 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2009","45 - 54 years","Female","Number","8"
"Drivers of Cars Killed in Collisions","2009","55 - 64 years","Male","Number","5"
"Drivers of Cars Killed in Collisions","2009","55 - 64 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2009","65 years and over","Male","Number","8"
"Drivers of Cars Killed in Collisions","2009","65 years and over","Female","Number","4"
"Drivers of Cars Killed in Collisions","2009","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2009","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2010","All ages","Male","Number","60"
"Drivers of Cars Killed in Collisions","2010","All ages","Female","Number","19"
"Drivers of Cars Killed in Collisions","2010","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2010","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2010","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2010","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2010","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2010","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2010","15 - 17 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2010","15 - 17 years","Female","Number","0"
