"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Drivers of Cars Killed in Collisions","2020","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2020","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2020","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2020","15 - 17 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2020","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2020","18 - 20 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2020","18 - 20 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2020","21 - 24 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2020","21 - 24 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2020","25 - 34 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2020","25 - 34 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2020","35 - 44 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2020","35 - 44 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2020","45 - 54 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2020","45 - 54 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2020","55 - 64 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2020","55 - 64 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2020","65 years and over","Male","Number","10"
"Drivers of Cars Killed in Collisions","2020","65 years and over","Female","Number","4"
"Drivers of Cars Killed in Collisions","2020","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2020","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2021","All ages","Male","Number","45"
"Drivers of Cars Killed in Collisions","2021","All ages","Female","Number","20"
"Drivers of Cars Killed in Collisions","2021","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2021","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2021","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2021","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2021","10 - 14 years","Male","Number","1"
"Drivers of Cars Killed in Collisions","2021","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2021","15 - 17 years","Male","Number","1"
"Drivers of Cars Killed in Collisions","2021","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2021","18 - 20 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2021","18 - 20 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2021","21 - 24 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2021","21 - 24 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2021","25 - 34 years","Male","Number","9"
"Drivers of Cars Killed in Collisions","2021","25 - 34 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2021","35 - 44 years","Male","Number","12"
"Drivers of Cars Killed in Collisions","2021","35 - 44 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2021","45 - 54 years","Male","Number","5"
"Drivers of Cars Killed in Collisions","2021","45 - 54 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2021","55 - 64 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2021","55 - 64 years","Female","Number","6"
"Drivers of Cars Killed in Collisions","2021","65 years and over","Male","Number","12"
"Drivers of Cars Killed in Collisions","2021","65 years and over","Female","Number","0"
"Drivers of Cars Killed in Collisions","2021","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2021","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2022","All ages","Male","Number","40"
"Drivers of Cars Killed in Collisions","2022","All ages","Female","Number","9"
"Drivers of Cars Killed in Collisions","2022","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2022","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2022","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2022","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2022","10 - 14 years","Male","Number","1"
"Drivers of Cars Killed in Collisions","2022","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2022","15 - 17 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2022","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2022","18 - 20 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2022","18 - 20 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2022","21 - 24 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2022","21 - 24 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2022","25 - 34 years","Male","Number","6"
"Drivers of Cars Killed in Collisions","2022","25 - 34 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2022","35 - 44 years","Male","Number","6"
"Drivers of Cars Killed in Collisions","2022","35 - 44 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2022","45 - 54 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2022","45 - 54 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2022","55 - 64 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2022","55 - 64 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2022","65 years and over","Male","Number","14"
"Drivers of Cars Killed in Collisions","2022","65 years and over","Female","Number","2"
"Drivers of Cars Killed in Collisions","2022","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2022","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2023","All ages","Male","Number","42"
"Drivers of Cars Killed in Collisions","2023","All ages","Female","Number","11"
"Drivers of Cars Killed in Collisions","2023","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2023","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2023","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2023","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2023","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2023","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2023","15 - 17 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2023","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2023","18 - 20 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2023","18 - 20 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2023","21 - 24 years","Male","Number","6"
"Drivers of Cars Killed in Collisions","2023","21 - 24 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2023","25 - 34 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2023","25 - 34 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2023","35 - 44 years","Male","Number","8"
"Drivers of Cars Killed in Collisions","2023","35 - 44 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2023","45 - 54 years","Male","Number","5"
"Drivers of Cars Killed in Collisions","2023","45 - 54 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2023","55 - 64 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2023","55 - 64 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2023","65 years and over","Male","Number","7"
"Drivers of Cars Killed in Collisions","2023","65 years and over","Female","Number","6"
"Drivers of Cars Killed in Collisions","2023","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2023","Age unknown","Female","Number","0"
"Drivers of Cars Injured in Collisions","2006","All ages","Male","Number","1888"
"Drivers of Cars Injured in Collisions","2006","All ages","Female","Number","1640"
"Drivers of Cars Injured in Collisions","2006","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2006","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2006","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2006","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2006","10 - 14 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2006","10 - 14 years","Female","Number","1"
"Drivers of Cars Injured in Collisions","2006","15 - 17 years","Male","Number","50"
"Drivers of Cars Injured in Collisions","2006","15 - 17 years","Female","Number","19"
"Drivers of Cars Injured in Collisions","2006","18 - 20 years","Male","Number","264"
"Drivers of Cars Injured in Collisions","2006","18 - 20 years","Female","Number","134"
"Drivers of Cars Injured in Collisions","2006","21 - 24 years","Male","Number","298"
"Drivers of Cars Injured in Collisions","2006","21 - 24 years","Female","Number","202"
"Drivers of Cars Injured in Collisions","2006","25 - 34 years","Male","Number","470"
"Drivers of Cars Injured in Collisions","2006","25 - 34 years","Female","Number","460"
"Drivers of Cars Injured in Collisions","2006","35 - 44 years","Male","Number","297"
"Drivers of Cars Injured in Collisions","2006","35 - 44 years","Female","Number","334"
"Drivers of Cars Injured in Collisions","2006","45 - 54 years","Male","Number","200"
"Drivers of Cars Injured in Collisions","2006","45 - 54 years","Female","Number","240"
"Drivers of Cars Injured in Collisions","2006","55 - 64 years","Male","Number","134"
"Drivers of Cars Injured in Collisions","2006","55 - 64 years","Female","Number","121"
"Drivers of Cars Injured in Collisions","2006","65 years and over","Male","Number","134"
"Drivers of Cars Injured in Collisions","2006","65 years and over","Female","Number","94"
"Drivers of Cars Injured in Collisions","2006","Age unknown","Male","Number","41"
"Drivers of Cars Injured in Collisions","2006","Age unknown","Female","Number","35"
"Drivers of Cars Injured in Collisions","2007","All ages","Male","Number","1712"
"Drivers of Cars Injured in Collisions","2007","All ages","Female","Number","1531"
"Drivers of Cars Injured in Collisions","2007","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2007","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2007","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2007","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2007","10 - 14 years","Male","Number","1"
"Drivers of Cars Injured in Collisions","2007","10 - 14 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2007","15 - 17 years","Male","Number","52"
"Drivers of Cars Injured in Collisions","2007","15 - 17 years","Female","Number","19"
"Drivers of Cars Injured in Collisions","2007","18 - 20 years","Male","Number","234"
"Drivers of Cars Injured in Collisions","2007","18 - 20 years","Female","Number","145"
"Drivers of Cars Injured in Collisions","2007","21 - 24 years","Male","Number","250"
"Drivers of Cars Injured in Collisions","2007","21 - 24 years","Female","Number","216"
"Drivers of Cars Injured in Collisions","2007","25 - 34 years","Male","Number","395"
"Drivers of Cars Injured in Collisions","2007","25 - 34 years","Female","Number","430"
"Drivers of Cars Injured in Collisions","2007","35 - 44 years","Male","Number","287"
"Drivers of Cars Injured in Collisions","2007","35 - 44 years","Female","Number","294"
"Drivers of Cars Injured in Collisions","2007","45 - 54 years","Male","Number","176"
"Drivers of Cars Injured in Collisions","2007","45 - 54 years","Female","Number","196"
"Drivers of Cars Injured in Collisions","2007","55 - 64 years","Male","Number","143"
"Drivers of Cars Injured in Collisions","2007","55 - 64 years","Female","Number","126"
"Drivers of Cars Injured in Collisions","2007","65 years and over","Male","Number","154"
"Drivers of Cars Injured in Collisions","2007","65 years and over","Female","Number","85"
"Drivers of Cars Injured in Collisions","2007","Age unknown","Male","Number","20"
"Drivers of Cars Injured in Collisions","2007","Age unknown","Female","Number","20"
"Drivers of Cars Injured in Collisions","2008","All ages","Male","Number","2190"
"Drivers of Cars Injured in Collisions","2008","All ages","Female","Number","1865"
"Drivers of Cars Injured in Collisions","2008","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2008","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2008","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2008","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2008","10 - 14 years","Male","Number","1"
"Drivers of Cars Injured in Collisions","2008","10 - 14 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2008","15 - 17 years","Male","Number","63"
"Drivers of Cars Injured in Collisions","2008","15 - 17 years","Female","Number","26"
"Drivers of Cars Injured in Collisions","2008","18 - 20 years","Male","Number","243"
"Drivers of Cars Injured in Collisions","2008","18 - 20 years","Female","Number","153"
"Drivers of Cars Injured in Collisions","2008","21 - 24 years","Male","Number","226"
"Drivers of Cars Injured in Collisions","2008","21 - 24 years","Female","Number","233"
"Drivers of Cars Injured in Collisions","2008","25 - 34 years","Male","Number","477"
"Drivers of Cars Injured in Collisions","2008","25 - 34 years","Female","Number","465"
"Drivers of Cars Injured in Collisions","2008","35 - 44 years","Male","Number","315"
"Drivers of Cars Injured in Collisions","2008","35 - 44 years","Female","Number","284"
"Drivers of Cars Injured in Collisions","2008","45 - 54 years","Male","Number","194"
"Drivers of Cars Injured in Collisions","2008","45 - 54 years","Female","Number","213"
"Drivers of Cars Injured in Collisions","2008","55 - 64 years","Male","Number","149"
"Drivers of Cars Injured in Collisions","2008","55 - 64 years","Female","Number","105"
"Drivers of Cars Injured in Collisions","2008","65 years and over","Male","Number","164"
"Drivers of Cars Injured in Collisions","2008","65 years and over","Female","Number","93"
"Drivers of Cars Injured in Collisions","2008","Age unknown","Male","Number","358"
"Drivers of Cars Injured in Collisions","2008","Age unknown","Female","Number","293"
"Drivers of Cars Injured in Collisions","2009","All ages","Male","Number","2155"
"Drivers of Cars Injured in Collisions","2009","All ages","Female","Number","1909"
"Drivers of Cars Injured in Collisions","2009","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2009","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2009","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2009","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2009","10 - 14 years","Male","Number","3"
"Drivers of Cars Injured in Collisions","2009","10 - 14 years","Female","Number","1"
"Drivers of Cars Injured in Collisions","2009","15 - 17 years","Male","Number","51"
"Drivers of Cars Injured in Collisions","2009","15 - 17 years","Female","Number","18"
"Drivers of Cars Injured in Collisions","2009","18 - 20 years","Male","Number","258"
"Drivers of Cars Injured in Collisions","2009","18 - 20 years","Female","Number","161"
"Drivers of Cars Injured in Collisions","2009","21 - 24 years","Male","Number","255"
"Drivers of Cars Injured in Collisions","2009","21 - 24 years","Female","Number","228"
"Drivers of Cars Injured in Collisions","2009","25 - 34 years","Male","Number","562"
"Drivers of Cars Injured in Collisions","2009","25 - 34 years","Female","Number","538"
"Drivers of Cars Injured in Collisions","2009","35 - 44 years","Male","Number","381"
"Drivers of Cars Injured in Collisions","2009","35 - 44 years","Female","Number","374"
"Drivers of Cars Injured in Collisions","2009","45 - 54 years","Male","Number","227"
"Drivers of Cars Injured in Collisions","2009","45 - 54 years","Female","Number","259"
"Drivers of Cars Injured in Collisions","2009","55 - 64 years","Male","Number","161"
"Drivers of Cars Injured in Collisions","2009","55 - 64 years","Female","Number","145"
"Drivers of Cars Injured in Collisions","2009","65 years and over","Male","Number","168"
"Drivers of Cars Injured in Collisions","2009","65 years and over","Female","Number","128"
"Drivers of Cars Injured in Collisions","2009","Age unknown","Male","Number","89"
"Drivers of Cars Injured in Collisions","2009","Age unknown","Female","Number","57"
"Drivers of Cars Injured in Collisions","2010","All ages","Male","Number","1702"
"Drivers of Cars Injured in Collisions","2010","All ages","Female","Number","1639"
"Drivers of Cars Injured in Collisions","2010","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2010","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2010","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2010","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2010","10 - 14 years","Male","Number","1"
"Drivers of Cars Injured in Collisions","2010","10 - 14 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2010","15 - 17 years","Male","Number","45"
"Drivers of Cars Injured in Collisions","2010","15 - 17 years","Female","Number","20"
"Drivers of Cars Injured in Collisions","2010","18 - 20 years","Male","Number","197"
"Drivers of Cars Injured in Collisions","2010","18 - 20 years","Female","Number","137"
"Drivers of Cars Injured in Collisions","2010","21 - 24 years","Male","Number","195"
"Drivers of Cars Injured in Collisions","2010","21 - 24 years","Female","Number","186"
"Drivers of Cars Injured in Collisions","2010","25 - 34 years","Male","Number","443"
"Drivers of Cars Injured in Collisions","2010","25 - 34 years","Female","Number","451"
"Drivers of Cars Injured in Collisions","2010","35 - 44 years","Male","Number","308"
"Drivers of Cars Injured in Collisions","2010","35 - 44 years","Female","Number","364"
"Drivers of Cars Injured in Collisions","2010","45 - 54 years","Male","Number","200"
"Drivers of Cars Injured in Collisions","2010","45 - 54 years","Female","Number","224"
"Drivers of Cars Injured in Collisions","2010","55 - 64 years","Male","Number","132"
"Drivers of Cars Injured in Collisions","2010","55 - 64 years","Female","Number","138"
"Drivers of Cars Injured in Collisions","2010","65 years and over","Male","Number","174"
"Drivers of Cars Injured in Collisions","2010","65 years and over","Female","Number","112"
"Drivers of Cars Injured in Collisions","2010","Age unknown","Male","Number","7"
"Drivers of Cars Injured in Collisions","2010","Age unknown","Female","Number","7"
"Drivers of Cars Injured in Collisions","2011","All ages","Male","Number","1481"
"Drivers of Cars Injured in Collisions","2011","All ages","Female","Number","1365"
"Drivers of Cars Injured in Collisions","2011","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2011","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2011","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2011","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2011","10 - 14 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2011","10 - 14 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2011","15 - 17 years","Male","Number","33"
"Drivers of Cars Injured in Collisions","2011","15 - 17 years","Female","Number","13"
"Drivers of Cars Injured in Collisions","2011","18 - 20 years","Male","Number","145"
"Drivers of Cars Injured in Collisions","2011","18 - 20 years","Female","Number","104"
"Drivers of Cars Injured in Collisions","2011","21 - 24 years","Male","Number","179"
"Drivers of Cars Injured in Collisions","2011","21 - 24 years","Female","Number","177"
"Drivers of Cars Injured in Collisions","2011","25 - 34 years","Male","Number","379"
"Drivers of Cars Injured in Collisions","2011","25 - 34 years","Female","Number","370"
"Drivers of Cars Injured in Collisions","2011","35 - 44 years","Male","Number","291"
"Drivers of Cars Injured in Collisions","2011","35 - 44 years","Female","Number","294"
"Drivers of Cars Injured in Collisions","2011","45 - 54 years","Male","Number","191"
"Drivers of Cars Injured in Collisions","2011","45 - 54 years","Female","Number","183"
"Drivers of Cars Injured in Collisions","2011","55 - 64 years","Male","Number","101"
"Drivers of Cars Injured in Collisions","2011","55 - 64 years","Female","Number","119"
"Drivers of Cars Injured in Collisions","2011","65 years and over","Male","Number","152"
"Drivers of Cars Injured in Collisions","2011","65 years and over","Female","Number","101"
"Drivers of Cars Injured in Collisions","2011","Age unknown","Male","Number","10"
"Drivers of Cars Injured in Collisions","2011","Age unknown","Female","Number","4"
"Drivers of Cars Injured in Collisions","2012","All ages","Male","Number","1640"
"Drivers of Cars Injured in Collisions","2012","All ages","Female","Number","1508"
"Drivers of Cars Injured in Collisions","2012","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2012","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2012","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2012","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2012","10 - 14 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2012","10 - 14 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2012","15 - 17 years","Male","Number","26"
"Drivers of Cars Injured in Collisions","2012","15 - 17 years","Female","Number","16"
"Drivers of Cars Injured in Collisions","2012","18 - 20 years","Male","Number","157"
"Drivers of Cars Injured in Collisions","2012","18 - 20 years","Female","Number","97"
"Drivers of Cars Injured in Collisions","2012","21 - 24 years","Male","Number","189"
"Drivers of Cars Injured in Collisions","2012","21 - 24 years","Female","Number","148"
"Drivers of Cars Injured in Collisions","2012","25 - 34 years","Male","Number","377"
"Drivers of Cars Injured in Collisions","2012","25 - 34 years","Female","Number","384"
"Drivers of Cars Injured in Collisions","2012","35 - 44 years","Male","Number","351"
"Drivers of Cars Injured in Collisions","2012","35 - 44 years","Female","Number","335"
"Drivers of Cars Injured in Collisions","2012","45 - 54 years","Male","Number","213"
"Drivers of Cars Injured in Collisions","2012","45 - 54 years","Female","Number","240"
"Drivers of Cars Injured in Collisions","2012","55 - 64 years","Male","Number","135"
"Drivers of Cars Injured in Collisions","2012","55 - 64 years","Female","Number","165"
"Drivers of Cars Injured in Collisions","2012","65 years and over","Male","Number","177"
"Drivers of Cars Injured in Collisions","2012","65 years and over","Female","Number","117"
"Drivers of Cars Injured in Collisions","2012","Age unknown","Male","Number","15"
"Drivers of Cars Injured in Collisions","2012","Age unknown","Female","Number","6"
"Drivers of Cars Injured in Collisions","2013","All ages","Male","Number","1353"
"Drivers of Cars Injured in Collisions","2013","All ages","Female","Number","1295"
"Drivers of Cars Injured in Collisions","2013","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2013","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2013","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2013","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2013","10 - 14 years","Male","Number","1"
"Drivers of Cars Injured in Collisions","2013","10 - 14 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2013","15 - 17 years","Male","Number","15"
"Drivers of Cars Injured in Collisions","2013","15 - 17 years","Female","Number","3"
"Drivers of Cars Injured in Collisions","2013","18 - 20 years","Male","Number","121"
"Drivers of Cars Injured in Collisions","2013","18 - 20 years","Female","Number","73"
"Drivers of Cars Injured in Collisions","2013","21 - 24 years","Male","Number","160"
"Drivers of Cars Injured in Collisions","2013","21 - 24 years","Female","Number","139"
"Drivers of Cars Injured in Collisions","2013","25 - 34 years","Male","Number","284"
"Drivers of Cars Injured in Collisions","2013","25 - 34 years","Female","Number","343"
"Drivers of Cars Injured in Collisions","2013","35 - 44 years","Male","Number","280"
"Drivers of Cars Injured in Collisions","2013","35 - 44 years","Female","Number","296"
"Drivers of Cars Injured in Collisions","2013","45 - 54 years","Male","Number","196"
"Drivers of Cars Injured in Collisions","2013","45 - 54 years","Female","Number","214"
"Drivers of Cars Injured in Collisions","2013","55 - 64 years","Male","Number","130"
"Drivers of Cars Injured in Collisions","2013","55 - 64 years","Female","Number","115"
"Drivers of Cars Injured in Collisions","2013","65 years and over","Male","Number","158"
"Drivers of Cars Injured in Collisions","2013","65 years and over","Female","Number","110"
"Drivers of Cars Injured in Collisions","2013","Age unknown","Male","Number","8"
"Drivers of Cars Injured in Collisions","2013","Age unknown","Female","Number","2"
"Drivers of Cars Injured in Collisions","2014","All ages","Male","Number","1617"
"Drivers of Cars Injured in Collisions","2014","All ages","Female","Number","1485"
"Drivers of Cars Injured in Collisions","2014","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2014","0 - 5 years","Female","Number","1"
"Drivers of Cars Injured in Collisions","2014","6 - 9 years","Male","Number","1"
"Drivers of Cars Injured in Collisions","2014","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2014","10 - 14 years","Male","Number","1"
"Drivers of Cars Injured in Collisions","2014","10 - 14 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2014","15 - 17 years","Male","Number","23"
"Drivers of Cars Injured in Collisions","2014","15 - 17 years","Female","Number","5"
"Drivers of Cars Injured in Collisions","2014","18 - 20 years","Male","Number","126"
"Drivers of Cars Injured in Collisions","2014","18 - 20 years","Female","Number","64"
"Drivers of Cars Injured in Collisions","2014","21 - 24 years","Male","Number","183"
"Drivers of Cars Injured in Collisions","2014","21 - 24 years","Female","Number","144"
"Drivers of Cars Injured in Collisions","2014","25 - 34 years","Male","Number","360"
"Drivers of Cars Injured in Collisions","2014","25 - 34 years","Female","Number","373"
"Drivers of Cars Injured in Collisions","2014","35 - 44 years","Male","Number","347"
"Drivers of Cars Injured in Collisions","2014","35 - 44 years","Female","Number","378"
"Drivers of Cars Injured in Collisions","2014","45 - 54 years","Male","Number","226"
"Drivers of Cars Injured in Collisions","2014","45 - 54 years","Female","Number","233"
"Drivers of Cars Injured in Collisions","2014","55 - 64 years","Male","Number","137"
"Drivers of Cars Injured in Collisions","2014","55 - 64 years","Female","Number","146"
"Drivers of Cars Injured in Collisions","2014","65 years and over","Male","Number","198"
"Drivers of Cars Injured in Collisions","2014","65 years and over","Female","Number","137"
"Drivers of Cars Injured in Collisions","2014","Age unknown","Male","Number","15"
"Drivers of Cars Injured in Collisions","2014","Age unknown","Female","Number","4"
"Drivers of Cars Injured in Collisions","2015","All ages","Male","Number","1555"
"Drivers of Cars Injured in Collisions","2015","All ages","Female","Number","1480"
"Drivers of Cars Injured in Collisions","2015","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2015","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2015","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2015","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2015","10 - 14 years","Male","Number","1"
"Drivers of Cars Injured in Collisions","2015","10 - 14 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2015","15 - 17 years","Male","Number","16"
"Drivers of Cars Injured in Collisions","2015","15 - 17 years","Female","Number","4"
"Drivers of Cars Injured in Collisions","2015","18 - 20 years","Male","Number","116"
"Drivers of Cars Injured in Collisions","2015","18 - 20 years","Female","Number","65"
"Drivers of Cars Injured in Collisions","2015","21 - 24 years","Male","Number","203"
"Drivers of Cars Injured in Collisions","2015","21 - 24 years","Female","Number","157"
"Drivers of Cars Injured in Collisions","2015","25 - 34 years","Male","Number","354"
"Drivers of Cars Injured in Collisions","2015","25 - 34 years","Female","Number","369"
"Drivers of Cars Injured in Collisions","2015","35 - 44 years","Male","Number","313"
"Drivers of Cars Injured in Collisions","2015","35 - 44 years","Female","Number","328"
"Drivers of Cars Injured in Collisions","2015","45 - 54 years","Male","Number","207"
"Drivers of Cars Injured in Collisions","2015","45 - 54 years","Female","Number","239"
"Drivers of Cars Injured in Collisions","2015","55 - 64 years","Male","Number","156"
"Drivers of Cars Injured in Collisions","2015","55 - 64 years","Female","Number","155"
"Drivers of Cars Injured in Collisions","2015","65 years and over","Male","Number","185"
"Drivers of Cars Injured in Collisions","2015","65 years and over","Female","Number","158"
"Drivers of Cars Injured in Collisions","2015","Age unknown","Male","Number","4"
"Drivers of Cars Injured in Collisions","2015","Age unknown","Female","Number","5"
"Drivers of Cars Injured in Collisions","2016","All ages","Male","Number","1550"
"Drivers of Cars Injured in Collisions","2016","All ages","Female","Number","1484"
"Drivers of Cars Injured in Collisions","2016","0 - 5 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2016","0 - 5 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2016","6 - 9 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2016","6 - 9 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2016","10 - 14 years","Male","Number","0"
"Drivers of Cars Injured in Collisions","2016","10 - 14 years","Female","Number","0"
"Drivers of Cars Injured in Collisions","2016","15 - 17 years","Male","Number","16"
"Drivers of Cars Injured in Collisions","2016","15 - 17 years","Female","Number","6"
"Drivers of Cars Injured in Collisions","2016","18 - 20 years","Male","Number","107"
"Drivers of Cars Injured in Collisions","2016","18 - 20 years","Female","Number","47"
"Drivers of Cars Injured in Collisions","2016","21 - 24 years","Male","Number","165"
