Statistic Label,Month,Ireland,UNIT,VALUE
Road Fatalities,2011 July,Ireland,Number,18
Road Fatalities,2011 August,Ireland,Number,16
Road Fatalities,2011 September,Ireland,Number,13
Road Fatalities,2011 October,Ireland,Number,15
Road Fatalities,2011 November,Ireland,Number,18
Road Fatalities,2011 December,Ireland,Number,18
Road Fatalities,2012 January,Ireland,Number,10
Road Fatalities,2012 February,Ireland,Number,13
Road Fatalities,2012 March,Ireland,Number,13
Road Fatalities,2012 April,Ireland,Number,16
Road Fatalities,2012 May,Ireland,Number,13
Road Fatalities,2012 June,Ireland,Number,26
Road Fatalities,2012 July,Ireland,Number,15
Road Fatalities,2012 August,Ireland,Number,12
Road Fatalities,2012 September,Ireland,Number,10
Road Fatalities,2012 October,Ireland,Number,15
Road Fatalities,2012 November,Ireland,Number,8
Road Fatalities,2012 December,Ireland,Number,12
Road Fatalities,2013 January,Ireland,Number,19
Road Fatalities,2013 February,Ireland,Number,14
Road Fatalities,2013 March,Ireland,Number,15
Road Fatalities,2013 April,Ireland,Number,12
Road Fatalities,2013 May,Ireland,Number,17
Road Fatalities,2013 June,Ireland,Number,13
Road Fatalities,2013 July,Ireland,Number,18
Road Fatalities,2013 August,Ireland,Number,19
Road Fatalities,2013 September,Ireland,Number,17
Road Fatalities,2013 October,Ireland,Number,13
Road Fatalities,2013 November,Ireland,Number,15
Road Fatalities,2013 December,Ireland,Number,16
Road Fatalities,2014 January,Ireland,Number,16
Road Fatalities,2014 February,Ireland,Number,13
Road Fatalities,2014 March,Ireland,Number,15
Road Fatalities,2014 April,Ireland,Number,14
Road Fatalities,2014 May,Ireland,Number,18
Road Fatalities,2014 June,Ireland,Number,18
Road Fatalities,2014 July,Ireland,Number,18
Road Fatalities,2014 August,Ireland,Number,15
Road Fatalities,2014 September,Ireland,Number,11
Road Fatalities,2014 October,Ireland,Number,17
Road Fatalities,2014 November,Ireland,Number,20
Road Fatalities,2014 December,Ireland,Number,17
Road Fatalities,2015 January,Ireland,Number,12
Road Fatalities,2015 February,Ireland,Number,13
Road Fatalities,2015 March,Ireland,Number,11
Road Fatalities,2015 April,Ireland,Number,7
Road Fatalities,2015 May,Ireland,Number,12
Road Fatalities,2015 June,Ireland,Number,13
Road Fatalities,2015 July,Ireland,Number,19
Road Fatalities,2015 August,Ireland,Number,14
Road Fatalities,2015 September,Ireland,Number,16
Road Fatalities,2015 October,Ireland,Number,11
Road Fatalities,2015 November,Ireland,Number,14
Road Fatalities,2015 December,Ireland,Number,20
Road Fatalities,2016 January,Ireland,Number,15
Road Fatalities,2016 February,Ireland,Number,9
Road Fatalities,2016 March,Ireland,Number,17
Road Fatalities,2016 April,Ireland,Number,14
Road Fatalities,2016 May,Ireland,Number,20
Road Fatalities,2016 June,Ireland,Number,12
Road Fatalities,2016 July,Ireland,Number,19
Road Fatalities,2016 August,Ireland,Number,13
Road Fatalities,2016 September,Ireland,Number,17
Road Fatalities,2016 October,Ireland,Number,20
Road Fatalities,2016 November,Ireland,Number,9
Road Fatalities,2016 December,Ireland,Number,17
Road Fatalities,2017 January,Ireland,Number,16
Road Fatalities,2017 February,Ireland,Number,11
Road Fatalities,2017 March,Ireland,Number,20
Road Fatalities,2017 April,Ireland,Number,7
Road Fatalities,2017 May,Ireland,Number,8
Road Fatalities,2017 June,Ireland,Number,13
Road Fatalities,2017 July,Ireland,Number,16
Road Fatalities,2017 August,Ireland,Number,10
Road Fatalities,2017 September,Ireland,Number,13
Road Fatalities,2017 October,Ireland,Number,10
Road Fatalities,2017 November,Ireland,Number,14
Road Fatalities,2017 December,Ireland,Number,16
Road Fatalities,2018 January,Ireland,Number,12
Road Fatalities,2018 February,Ireland,Number,10
Road Fatalities,2018 March,Ireland,Number,13
Road Fatalities,2018 April,Ireland,Number,17
Road Fatalities,2018 May,Ireland,Number,4
Road Fatalities,2018 June,Ireland,Number,16
Road Fatalities,2018 July,Ireland,Number,8
Road Fatalities,2018 August,Ireland,Number,12
Road Fatalities,2018 September,Ireland,Number,10
Road Fatalities,2018 October,Ireland,Number,7
Road Fatalities,2018 November,Ireland,Number,11
Road Fatalities,2018 December,Ireland,Number,15
Road Fatalities,2019 January,Ireland,Number,14
Road Fatalities,2019 February,Ireland,Number,14
Road Fatalities,2019 March,Ireland,Number,11
Road Fatalities,2019 April,Ireland,Number,9
Road Fatalities,2019 May,Ireland,Number,11
Road Fatalities,2019 June,Ireland,Number,11
Road Fatalities,2019 July,Ireland,Number,8
Road Fatalities,2019 August,Ireland,Number,8
Road Fatalities,2019 September,Ireland,Number,18
Road Fatalities,2019 October,Ireland,Number,10
Road Fatalities,2019 November,Ireland,Number,11
Road Fatalities,2019 December,Ireland,Number,15
Road Fatalities,2020 January,Ireland,Number,9
Road Fatalities,2020 February,Ireland,Number,19
Road Fatalities,2020 March,Ireland,Number,17
Road Fatalities,2020 April,Ireland,Number,7
Road Fatalities,2020 May,Ireland,Number,6
Road Fatalities,2020 June,Ireland,Number,12
Road Fatalities,2020 July,Ireland,Number,10
Road Fatalities,2020 August,Ireland,Number,16
Road Fatalities,2020 September,Ireland,Number,17
Road Fatalities,2020 October,Ireland,Number,12
Road Fatalities,2020 November,Ireland,Number,11
Road Fatalities,2020 December,Ireland,Number,8
Road Fatalities,2021 January,Ireland,Number,3
Road Fatalities,2021 February,Ireland,Number,5
Road Fatalities,2021 March,Ireland,Number,9
Road Fatalities,2021 April,Ireland,Number,18
Road Fatalities,2021 May,Ireland,Number,7
