"Statistic Label","Year","Month of Year","UNIT","VALUE"
"Fatal Collisions","2016","July","Number","16"
"Fatal Collisions","2016","August","Number","13"
"Fatal Collisions","2016","September","Number","17"
"Fatal Collisions","2016","October","Number","19"
"Fatal Collisions","2016","November","Number","9"
"Fatal Collisions","2016","December","Number","15"
"Fatal Collisions","2017","All months","Number","140"
"Fatal Collisions","2017","January","Number","14"
"Fatal Collisions","2017","February","Number","10"
"Fatal Collisions","2017","March","Number","19"
"Fatal Collisions","2017","April","Number","6"
"Fatal Collisions","2017","May","Number","8"
"Fatal Collisions","2017","June","Number","13"
"Fatal Collisions","2017","July","Number","14"
"Fatal Collisions","2017","August","Number","10"
"Fatal Collisions","2017","September","Number","10"
"Fatal Collisions","2017","October","Number","11"
"Fatal Collisions","2017","November","Number","13"
"Fatal Collisions","2017","December","Number","12"
"Fatal Collisions","2018","All months","Number","132"
"Fatal Collisions","2018","January","Number","11"
"Fatal Collisions","2018","February","Number","10"
"Fatal Collisions","2018","March","Number","13"
"Fatal Collisions","2018","April","Number","15"
"Fatal Collisions","2018","May","Number","4"
"Fatal Collisions","2018","June","Number","15"
"Fatal Collisions","2018","July","Number","8"
"Fatal Collisions","2018","August","Number","11"
"Fatal Collisions","2018","September","Number","10"
"Fatal Collisions","2018","October","Number","9"
"Fatal Collisions","2018","November","Number","11"
"Fatal Collisions","2018","December","Number","15"
"Fatal Collisions","2019","All months","Number","129"
"Fatal Collisions","2019","January","Number","10"
"Fatal Collisions","2019","February","Number","14"
"Fatal Collisions","2019","March","Number","9"
"Fatal Collisions","2019","April","Number","9"
"Fatal Collisions","2019","May","Number","8"
"Fatal Collisions","2019","June","Number","11"
"Fatal Collisions","2019","July","Number","8"
"Fatal Collisions","2019","August","Number","8"
"Fatal Collisions","2019","September","Number","17"
"Fatal Collisions","2019","October","Number","10"
"Fatal Collisions","2019","November","Number","11"
"Fatal Collisions","2019","December","Number","14"
"Fatal Collisions","2020","All months","Number","136"
"Fatal Collisions","2020","January","Number","8"
"Fatal Collisions","2020","February","Number","16"
"Fatal Collisions","2020","March","Number","18"
"Fatal Collisions","2020","April","Number","7"
"Fatal Collisions","2020","May","Number","6"
"Fatal Collisions","2020","June","Number","10"
"Fatal Collisions","2020","July","Number","9"
"Fatal Collisions","2020","August","Number","13"
"Fatal Collisions","2020","September","Number","17"
"Fatal Collisions","2020","October","Number","13"
"Fatal Collisions","2020","November","Number","11"
"Fatal Collisions","2020","December","Number","8"
"Fatal Collisions","2021","All months","Number","124"
"Fatal Collisions","2021","January","Number","4"
"Fatal Collisions","2021","February","Number","4"
"Fatal Collisions","2021","March","Number","10"
"Fatal Collisions","2021","April","Number","16"
"Fatal Collisions","2021","May","Number","7"
"Fatal Collisions","2021","June","Number","9"
"Fatal Collisions","2021","July","Number","15"
"Fatal Collisions","2021","August","Number","16"
"Fatal Collisions","2021","September","Number","11"
"Fatal Collisions","2021","October","Number","12"
"Fatal Collisions","2021","November","Number","3"
"Fatal Collisions","2021","December","Number","17"
"Fatal Collisions","2022","All months","Number","147"
"Fatal Collisions","2022","January","Number","13"
"Fatal Collisions","2022","February","Number","13"
"Fatal Collisions","2022","March","Number","15"
"Fatal Collisions","2022","April","Number","9"
"Fatal Collisions","2022","May","Number","12"
"Fatal Collisions","2022","June","Number","11"
"Fatal Collisions","2022","July","Number","11"
"Fatal Collisions","2022","August","Number","11"
"Fatal Collisions","2022","September","Number","9"
"Fatal Collisions","2022","October","Number","11"
"Fatal Collisions","2022","November","Number","17"
"Fatal Collisions","2022","December","Number","15"
"Fatal Collisions","2023","All months","Number","168"
"Fatal Collisions","2023","January","Number","16"
"Fatal Collisions","2023","February","Number","10"
"Fatal Collisions","2023","March","Number","11"
"Fatal Collisions","2023","April","Number","9"
"Fatal Collisions","2023","May","Number","20"
"Fatal Collisions","2023","June","Number","10"
"Fatal Collisions","2023","July","Number","15"
"Fatal Collisions","2023","August","Number","21"
"Fatal Collisions","2023","September","Number","9"
"Fatal Collisions","2023","October","Number","22"
"Fatal Collisions","2023","November","Number","12"
"Fatal Collisions","2023","December","Number","13"
"Injury Collisions","2005","All months","Number","6173"
"Injury Collisions","2005","January","Number","442"
"Injury Collisions","2005","February","Number","427"
"Injury Collisions","2005","March","Number","475"
"Injury Collisions","2005","April","Number","509"
"Injury Collisions","2005","May","Number","525"
