"Statistic Label","Year","Month of Year","UNIT","VALUE"
"All Fatal and Injury Collisions","2015","October","Number","510"
"All Fatal and Injury Collisions","2015","November","Number","515"
"All Fatal and Injury Collisions","2015","December","Number","547"
"All Fatal and Injury Collisions","2016","All months","Number","5891"
"All Fatal and Injury Collisions","2016","January","Number","530"
"All Fatal and Injury Collisions","2016","February","Number","466"
"All Fatal and Injury Collisions","2016","March","Number","431"
"All Fatal and Injury Collisions","2016","April","Number","410"
"All Fatal and Injury Collisions","2016","May","Number","480"
"All Fatal and Injury Collisions","2016","June","Number","487"
"All Fatal and Injury Collisions","2016","July","Number","540"
"All Fatal and Injury Collisions","2016","August","Number","472"
"All Fatal and Injury Collisions","2016","September","Number","544"
"All Fatal and Injury Collisions","2016","October","Number","503"
"All Fatal and Injury Collisions","2016","November","Number","502"
"All Fatal and Injury Collisions","2016","December","Number","526"
"All Fatal and Injury Collisions","2017","All months","Number","6054"
"All Fatal and Injury Collisions","2017","January","Number","463"
"All Fatal and Injury Collisions","2017","February","Number","419"
"All Fatal and Injury Collisions","2017","March","Number","529"
"All Fatal and Injury Collisions","2017","April","Number","393"
"All Fatal and Injury Collisions","2017","May","Number","530"
"All Fatal and Injury Collisions","2017","June","Number","496"
"All Fatal and Injury Collisions","2017","July","Number","496"
"All Fatal and Injury Collisions","2017","August","Number","485"
"All Fatal and Injury Collisions","2017","September","Number","556"
"All Fatal and Injury Collisions","2017","October","Number","519"
"All Fatal and Injury Collisions","2017","November","Number","610"
"All Fatal and Injury Collisions","2017","December","Number","558"
"All Fatal and Injury Collisions","2018","All months","Number","6106"
"All Fatal and Injury Collisions","2018","January","Number","472"
"All Fatal and Injury Collisions","2018","February","Number","446"
"All Fatal and Injury Collisions","2018","March","Number","441"
"All Fatal and Injury Collisions","2018","April","Number","461"
"All Fatal and Injury Collisions","2018","May","Number","537"
"All Fatal and Injury Collisions","2018","June","Number","536"
"All Fatal and Injury Collisions","2018","July","Number","548"
"All Fatal and Injury Collisions","2018","August","Number","485"
"All Fatal and Injury Collisions","2018","September","Number","518"
"All Fatal and Injury Collisions","2018","October","Number","553"
"All Fatal and Injury Collisions","2018","November","Number","560"
"All Fatal and Injury Collisions","2018","December","Number","549"
"All Fatal and Injury Collisions","2019","All months","Number","5827"
"All Fatal and Injury Collisions","2019","January","Number","503"
"All Fatal and Injury Collisions","2019","February","Number","399"
"All Fatal and Injury Collisions","2019","March","Number","492"
"All Fatal and Injury Collisions","2019","April","Number","400"
"All Fatal and Injury Collisions","2019","May","Number","476"
"All Fatal and Injury Collisions","2019","June","Number","477"
"All Fatal and Injury Collisions","2019","July","Number","512"
"All Fatal and Injury Collisions","2019","August","Number","487"
"All Fatal and Injury Collisions","2019","September","Number","551"
"All Fatal and Injury Collisions","2019","October","Number","519"
"All Fatal and Injury Collisions","2019","November","Number","546"
"All Fatal and Injury Collisions","2019","December","Number","465"
"All Fatal and Injury Collisions","2020","All months","Number","4429"
"All Fatal and Injury Collisions","2020","January","Number","500"
"All Fatal and Injury Collisions","2020","February","Number","449"
"All Fatal and Injury Collisions","2020","March","Number","279"
"All Fatal and Injury Collisions","2020","April","Number","139"
"All Fatal and Injury Collisions","2020","May","Number","233"
"All Fatal and Injury Collisions","2020","June","Number","298"
"All Fatal and Injury Collisions","2020","July","Number","403"
"All Fatal and Injury Collisions","2020","August","Number","417"
"All Fatal and Injury Collisions","2020","September","Number","430"
"All Fatal and Injury Collisions","2020","October","Number","395"
"All Fatal and Injury Collisions","2020","November","Number","394"
"All Fatal and Injury Collisions","2020","December","Number","492"
"All Fatal and Injury Collisions","2021","All months","Number","4913"
"All Fatal and Injury Collisions","2021","January","Number","226"
"All Fatal and Injury Collisions","2021","February","Number","244"
"All Fatal and Injury Collisions","2021","March","Number","302"
"All Fatal and Injury Collisions","2021","April","Number","361"
"All Fatal and Injury Collisions","2021","May","Number","414"
"All Fatal and Injury Collisions","2021","June","Number","452"
"All Fatal and Injury Collisions","2021","July","Number","489"
"All Fatal and Injury Collisions","2021","August","Number","442"
"All Fatal and Injury Collisions","2021","September","Number","518"
"All Fatal and Injury Collisions","2021","October","Number","516"
"All Fatal and Injury Collisions","2021","November","Number","450"
"All Fatal and Injury Collisions","2021","December","Number","499"
"All Fatal and Injury Collisions","2022","All months","Number","5715"
"All Fatal and Injury Collisions","2022","January","Number","400"
"All Fatal and Injury Collisions","2022","February","Number","422"
"All Fatal and Injury Collisions","2022","March","Number","484"
"All Fatal and Injury Collisions","2022","April","Number","438"
"All Fatal and Injury Collisions","2022","May","Number","503"
"All Fatal and Injury Collisions","2022","June","Number","470"
"All Fatal and Injury Collisions","2022","July","Number","472"
"All Fatal and Injury Collisions","2022","August","Number","512"
"All Fatal and Injury Collisions","2022","September","Number","506"
"All Fatal and Injury Collisions","2022","October","Number","523"
"All Fatal and Injury Collisions","2022","November","Number","553"
"All Fatal and Injury Collisions","2022","December","Number","432"
"All Fatal and Injury Collisions","2023","All months","Number","5526"
"All Fatal and Injury Collisions","2023","January","Number","435"
"All Fatal and Injury Collisions","2023","February","Number","384"
"All Fatal and Injury Collisions","2023","March","Number","454"
"All Fatal and Injury Collisions","2023","April","Number","415"
"All Fatal and Injury Collisions","2023","May","Number","518"
"All Fatal and Injury Collisions","2023","June","Number","478"
"All Fatal and Injury Collisions","2023","July","Number","472"
"All Fatal and Injury Collisions","2023","August","Number","467"
"All Fatal and Injury Collisions","2023","September","Number","479"
"All Fatal and Injury Collisions","2023","October","Number","482"
"All Fatal and Injury Collisions","2023","November","Number","479"
"All Fatal and Injury Collisions","2023","December","Number","463"
"Killed Casualties","2005","All months","Number","396"
"Killed Casualties","2005","January","Number","33"
"Killed Casualties","2005","February","Number","37"
"Killed Casualties","2005","March","Number","26"
"Killed Casualties","2005","April","Number","23"
"Killed Casualties","2005","May","Number","41"
"Killed Casualties","2005","June","Number","22"
"Killed Casualties","2005","July","Number","41"
"Killed Casualties","2005","August","Number","24"
"Killed Casualties","2005","September","Number","31"
"Killed Casualties","2005","October","Number","44"
"Killed Casualties","2005","November","Number","34"
"Killed Casualties","2005","December","Number","40"
"Killed Casualties","2006","All months","Number","365"
"Killed Casualties","2006","January","Number","40"
"Killed Casualties","2006","February","Number","31"
"Killed Casualties","2006","March","Number","27"
"Killed Casualties","2006","April","Number","37"
"Killed Casualties","2006","May","Number","30"
"Killed Casualties","2006","June","Number","32"
"Killed Casualties","2006","July","Number","38"
"Killed Casualties","2006","August","Number","17"
"Killed Casualties","2006","September","Number","23"
"Killed Casualties","2006","October","Number","32"
"Killed Casualties","2006","November","Number","27"
"Killed Casualties","2006","December","Number","31"
"Killed Casualties","2007","All months","Number","338"
"Killed Casualties","2007","January","Number","22"
"Killed Casualties","2007","February","Number","25"
"Killed Casualties","2007","March","Number","34"
"Killed Casualties","2007","April","Number","30"
"Killed Casualties","2007","May","Number","24"
"Killed Casualties","2007","June","Number","29"
"Killed Casualties","2007","July","Number","31"
"Killed Casualties","2007","August","Number","28"
"Killed Casualties","2007","September","Number","28"
"Killed Casualties","2007","October","Number","26"
"Killed Casualties","2007","November","Number","23"
"Killed Casualties","2007","December","Number","38"
"Killed Casualties","2008","All months","Number","279"
"Killed Casualties","2008","January","Number","25"
"Killed Casualties","2008","February","Number","32"
"Killed Casualties","2008","March","Number","20"
"Killed Casualties","2008","April","Number","19"
"Killed Casualties","2008","May","Number","19"
"Killed Casualties","2008","June","Number","28"
"Killed Casualties","2008","July","Number","26"
"Killed Casualties","2008","August","Number","28"
"Killed Casualties","2008","September","Number","19"
"Killed Casualties","2008","October","Number","22"
"Killed Casualties","2008","November","Number","22"
"Killed Casualties","2008","December","Number","19"
"Killed Casualties","2009","All months","Number","238"
"Killed Casualties","2009","January","Number","18"
"Killed Casualties","2009","February","Number","15"
"Killed Casualties","2009","March","Number","24"
"Killed Casualties","2009","April","Number","20"
"Killed Casualties","2009","May","Number","28"
"Killed Casualties","2009","June","Number","15"
"Killed Casualties","2009","July","Number","19"
"Killed Casualties","2009","August","Number","20"
"Killed Casualties","2009","September","Number","14"
"Killed Casualties","2009","October","Number","22"
"Killed Casualties","2009","November","Number","25"
"Killed Casualties","2009","December","Number","18"
"Killed Casualties","2010","All months","Number","212"
"Killed Casualties","2010","January","Number","15"
"Killed Casualties","2010","February","Number","14"
"Killed Casualties","2010","March","Number","12"
"Killed Casualties","2010","April","Number","19"
"Killed Casualties","2010","May","Number","28"
"Killed Casualties","2010","June","Number","11"
"Killed Casualties","2010","July","Number","21"
"Killed Casualties","2010","August","Number","19"
"Killed Casualties","2010","September","Number","13"
"Killed Casualties","2010","October","Number","36"
"Killed Casualties","2010","November","Number","14"
"Killed Casualties","2010","December","Number","10"
"Killed Casualties","2011","All months","Number","186"
"Killed Casualties","2011","January","Number","21"
"Killed Casualties","2011","February","Number","18"
"Killed Casualties","2011","March","Number","15"
"Killed Casualties","2011","April","Number","8"
"Killed Casualties","2011","May","Number","11"
"Killed Casualties","2011","June","Number","15"
"Killed Casualties","2011","July","Number","18"
"Killed Casualties","2011","August","Number","16"
"Killed Casualties","2011","September","Number","13"
"Killed Casualties","2011","October","Number","15"
"Killed Casualties","2011","November","Number","18"
"Killed Casualties","2011","December","Number","18"
"Killed Casualties","2012","All months","Number","162"
"Killed Casualties","2012","January","Number","10"
"Killed Casualties","2012","February","Number","13"
"Killed Casualties","2012","March","Number","12"
"Killed Casualties","2012","April","Number","16"
"Killed Casualties","2012","May","Number","13"
"Killed Casualties","2012","June","Number","26"
"Killed Casualties","2012","July","Number","15"
"Killed Casualties","2012","August","Number","12"
"Killed Casualties","2012","September","Number","10"
"Killed Casualties","2012","October","Number","15"
"Killed Casualties","2012","November","Number","8"
"Killed Casualties","2012","December","Number","12"
"Killed Casualties","2013","All months","Number","188"
"Killed Casualties","2013","January","Number","19"
"Killed Casualties","2013","February","Number","14"
"Killed Casualties","2013","March","Number","15"
"Killed Casualties","2013","April","Number","12"
"Killed Casualties","2013","May","Number","17"
"Killed Casualties","2013","June","Number","13"
"Killed Casualties","2013","July","Number","18"
"Killed Casualties","2013","August","Number","19"
"Killed Casualties","2013","September","Number","17"
"Killed Casualties","2013","October","Number","13"
"Killed Casualties","2013","November","Number","15"
"Killed Casualties","2013","December","Number","16"
"Killed Casualties","2014","All months","Number","192"
"Killed Casualties","2014","January","Number","16"
"Killed Casualties","2014","February","Number","13"
"Killed Casualties","2014","March","Number","15"
"Killed Casualties","2014","April","Number","14"
"Killed Casualties","2014","May","Number","18"
"Killed Casualties","2014","June","Number","18"
"Killed Casualties","2014","July","Number","18"
"Killed Casualties","2014","August","Number","15"
"Killed Casualties","2014","September","Number","11"
"Killed Casualties","2014","October","Number","17"
"Killed Casualties","2014","November","Number","20"
"Killed Casualties","2014","December","Number","17"
"Killed Casualties","2015","All months","Number","162"
"Killed Casualties","2015","January","Number","12"
"Killed Casualties","2015","February","Number","13"
"Killed Casualties","2015","March","Number","11"
"Killed Casualties","2015","April","Number","7"
"Killed Casualties","2015","May","Number","12"
"Killed Casualties","2015","June","Number","13"
"Killed Casualties","2015","July","Number","19"
"Killed Casualties","2015","August","Number","14"
"Killed Casualties","2015","September","Number","16"
"Killed Casualties","2015","October","Number","11"
"Killed Casualties","2015","November","Number","14"
"Killed Casualties","2015","December","Number","20"
"Killed Casualties","2016","All months","Number","186"
"Killed Casualties","2016","January","Number","15"
"Killed Casualties","2016","February","Number","10"
"Killed Casualties","2016","March","Number","17"
"Killed Casualties","2016","April","Number","14"
"Killed Casualties","2016","May","Number","20"
"Killed Casualties","2016","June","Number","12"
"Killed Casualties","2016","July","Number","21"
"Killed Casualties","2016","August","Number","13"
"Killed Casualties","2016","September","Number","18"
"Killed Casualties","2016","October","Number","20"
"Killed Casualties","2016","November","Number","9"
"Killed Casualties","2016","December","Number","17"
"Killed Casualties","2017","All months","Number","156"
"Killed Casualties","2017","January","Number","16"
"Killed Casualties","2017","February","Number","11"
"Killed Casualties","2017","March","Number","20"
"Killed Casualties","2017","April","Number","7"
"Killed Casualties","2017","May","Number","8"
"Killed Casualties","2017","June","Number","14"
"Killed Casualties","2017","July","Number","16"
"Killed Casualties","2017","August","Number","10"
"Killed Casualties","2017","September","Number","13"
"Killed Casualties","2017","October","Number","11"
"Killed Casualties","2017","November","Number","14"
"Killed Casualties","2017","December","Number","16"
"Killed Casualties","2018","All months","Number","139"
"Killed Casualties","2018","January","Number","12"
"Killed Casualties","2018","February","Number","10"
"Killed Casualties","2018","March","Number","14"
"Killed Casualties","2018","April","Number","17"
"Killed Casualties","2018","May","Number","4"
"Killed Casualties","2018","June","Number","16"
"Killed Casualties","2018","July","Number","8"
"Killed Casualties","2018","August","Number","12"
"Killed Casualties","2018","September","Number","10"
"Killed Casualties","2018","October","Number","9"
"Killed Casualties","2018","November","Number","12"
"Killed Casualties","2018","December","Number","15"
"Killed Casualties","2019","All months","Number","140"
"Killed Casualties","2019","January","Number","14"
"Killed Casualties","2019","February","Number","14"
"Killed Casualties","2019","March","Number","11"
"Killed Casualties","2019","April","Number","9"
"Killed Casualties","2019","May","Number","11"
"Killed Casualties","2019","June","Number","11"
"Killed Casualties","2019","July","Number","8"
"Killed Casualties","2019","August","Number","8"
"Killed Casualties","2019","September","Number","18"
"Killed Casualties","2019","October","Number","10"
"Killed Casualties","2019","November","Number","11"
"Killed Casualties","2019","December","Number","15"
"Killed Casualties","2020","All months","Number","147"
"Killed Casualties","2020","January","Number","9"
"Killed Casualties","2020","February","Number","19"
"Killed Casualties","2020","March","Number","18"
"Killed Casualties","2020","April","Number","7"
"Killed Casualties","2020","May","Number","6"
"Killed Casualties","2020","June","Number","12"
"Killed Casualties","2020","July","Number","10"
"Killed Casualties","2020","August","Number","16"
"Killed Casualties","2020","September","Number","18"
"Killed Casualties","2020","October","Number","13"
"Killed Casualties","2020","November","Number","11"
"Killed Casualties","2020","December","Number","8"
"Killed Casualties","2021","All months","Number","136"
"Killed Casualties","2021","January","Number","4"
"Killed Casualties","2021","February","Number","5"
"Killed Casualties","2021","March","Number","10"
"Killed Casualties","2021","April","Number","18"
"Killed Casualties","2021","May","Number","7"
"Killed Casualties","2021","June","Number","9"
"Killed Casualties","2021","July","Number","17"
"Killed Casualties","2021","August","Number","21"
"Killed Casualties","2021","September","Number","11"
"Killed Casualties","2021","October","Number","12"
"Killed Casualties","2021","November","Number","3"
"Killed Casualties","2021","December","Number","19"
"Killed Casualties","2022","All months","Number","153"
"Killed Casualties","2022","January","Number","13"
"Killed Casualties","2022","February","Number","13"
"Killed Casualties","2022","March","Number","16"
"Killed Casualties","2022","April","Number","9"
"Killed Casualties","2022","May","Number","12"
"Killed Casualties","2022","June","Number","13"
"Killed Casualties","2022","July","Number","12"
"Killed Casualties","2022","August","Number","12"
"Killed Casualties","2022","September","Number","9"
"Killed Casualties","2022","October","Number","12"
"Killed Casualties","2022","November","Number","17"
"Killed Casualties","2022","December","Number","15"
"Killed Casualties","2023","All months","Number","179"
"Killed Casualties","2023","January","Number","16"
"Killed Casualties","2023","February","Number","13"
"Killed Casualties","2023","March","Number","11"
"Killed Casualties","2023","April","Number","10"
"Killed Casualties","2023","May","Number","20"
"Killed Casualties","2023","June","Number","10"
"Killed Casualties","2023","July","Number","16"
"Killed Casualties","2023","August","Number","26"
"Killed Casualties","2023","September","Number","9"
"Killed Casualties","2023","October","Number","22"
"Killed Casualties","2023","November","Number","13"
"Killed Casualties","2023","December","Number","13"
"Injured Casualties","2005","All months","Number","9318"
"Injured Casualties","2005","January","Number","683"
"Injured Casualties","2005","February","Number","591"
"Injured Casualties","2005","March","Number","718"
"Injured Casualties","2005","April","Number","726"
"Injured Casualties","2005","May","Number","800"
"Injured Casualties","2005","June","Number","752"
"Injured Casualties","2005","July","Number","886"
"Injured Casualties","2005","August","Number","876"
"Injured Casualties","2005","September","Number","826"
"Injured Casualties","2005","October","Number","892"
"Injured Casualties","2005","November","Number","826"
"Injured Casualties","2005","December","Number","742"
"Injured Casualties","2006","All months","Number","8575"
"Injured Casualties","2006","January","Number","723"
"Injured Casualties","2006","February","Number","547"
"Injured Casualties","2006","March","Number","633"
"Injured Casualties","2006","April","Number","602"
"Injured Casualties","2006","May","Number","709"
"Injured Casualties","2006","June","Number","674"
"Injured Casualties","2006","July","Number","762"
"Injured Casualties","2006","August","Number","767"
"Injured Casualties","2006","September","Number","746"
"Injured Casualties","2006","October","Number","797"
"Injured Casualties","2006","November","Number","750"
"Injured Casualties","2006","December","Number","865"
"Injured Casualties","2007","All months","Number","7806"
"Injured Casualties","2007","January","Number","639"
"Injured Casualties","2007","February","Number","564"
"Injured Casualties","2007","March","Number","666"
"Injured Casualties","2007","April","Number","565"
"Injured Casualties","2007","May","Number","625"
"Injured Casualties","2007","June","Number","693"
"Injured Casualties","2007","July","Number","721"
"Injured Casualties","2007","August","Number","741"
"Injured Casualties","2007","September","Number","657"
"Injured Casualties","2007","October","Number","654"
"Injured Casualties","2007","November","Number","661"
"Injured Casualties","2007","December","Number","620"
"Injured Casualties","2008","All months","Number","9758"
"Injured Casualties","2008","January","Number","818"
"Injured Casualties","2008","February","Number","845"
"Injured Casualties","2008","March","Number","808"
"Injured Casualties","2008","April","Number","783"
"Injured Casualties","2008","May","Number","919"
"Injured Casualties","2008","June","Number","794"
"Injured Casualties","2008","July","Number","770"
"Injured Casualties","2008","August","Number","757"
"Injured Casualties","2008","September","Number","778"
"Injured Casualties","2008","October","Number","815"
"Injured Casualties","2008","November","Number","833"
"Injured Casualties","2008","December","Number","838"
"Injured Casualties","2009","All months","Number","9742"
"Injured Casualties","2009","January","Number","812"
"Injured Casualties","2009","February","Number","588"
"Injured Casualties","2009","March","Number","755"
"Injured Casualties","2009","April","Number","809"
"Injured Casualties","2009","May","Number","827"
"Injured Casualties","2009","June","Number","763"
"Injured Casualties","2009","July","Number","976"
"Injured Casualties","2009","August","Number","879"
"Injured Casualties","2009","September","Number","812"
"Injured Casualties","2009","October","Number","856"
"Injured Casualties","2009","November","Number","878"
"Injured Casualties","2009","December","Number","787"
"Injured Casualties","2010","All months","Number","8270"
"Injured Casualties","2010","January","Number","571"
"Injured Casualties","2010","February","Number","622"
"Injured Casualties","2010","March","Number","686"
"Injured Casualties","2010","April","Number","687"
"Injured Casualties","2010","May","Number","755"
"Injured Casualties","2010","June","Number","669"
"Injured Casualties","2010","July","Number","755"
"Injured Casualties","2010","August","Number","747"
"Injured Casualties","2010","September","Number","801"
"Injured Casualties","2010","October","Number","853"
"Injured Casualties","2010","November","Number","717"
"Injured Casualties","2010","December","Number","407"
"Injured Casualties","2011","All months","Number","7235"
"Injured Casualties","2011","January","Number","548"
"Injured Casualties","2011","February","Number","540"
"Injured Casualties","2011","March","Number","563"
"Injured Casualties","2011","April","Number","547"
"Injured Casualties","2011","May","Number","527"
"Injured Casualties","2011","June","Number","646"
"Injured Casualties","2011","July","Number","686"
"Injured Casualties","2011","August","Number","684"
"Injured Casualties","2011","September","Number","639"
"Injured Casualties","2011","October","Number","659"
"Injured Casualties","2011","November","Number","655"
"Injured Casualties","2011","December","Number","541"
"Injured Casualties","2012","All months","Number","7942"
"Injured Casualties","2012","January","Number","642"
"Injured Casualties","2012","February","Number","596"
"Injured Casualties","2012","March","Number","707"
"Injured Casualties","2012","April","Number","694"
"Injured Casualties","2012","May","Number","630"
"Injured Casualties","2012","June","Number","682"
"Injured Casualties","2012","July","Number","679"
"Injured Casualties","2012","August","Number","670"
"Injured Casualties","2012","September","Number","639"
"Injured Casualties","2012","October","Number","718"
"Injured Casualties","2012","November","Number","670"
"Injured Casualties","2012","December","Number","615"
"Injured Casualties","2013","All months","Number","6880"
"Injured Casualties","2013","January","Number","623"
"Injured Casualties","2013","February","Number","491"
"Injured Casualties","2013","March","Number","523"
"Injured Casualties","2013","April","Number","452"
"Injured Casualties","2013","May","Number","533"
"Injured Casualties","2013","June","Number","587"
"Injured Casualties","2013","July","Number","677"
"Injured Casualties","2013","August","Number","600"
"Injured Casualties","2013","September","Number","601"
"Injured Casualties","2013","October","Number","635"
"Injured Casualties","2013","November","Number","560"
"Injured Casualties","2013","December","Number","598"
"Injured Casualties","2014","All months","Number","8079"
"Injured Casualties","2014","January","Number","636"
"Injured Casualties","2014","February","Number","577"
"Injured Casualties","2014","March","Number","575"
"Injured Casualties","2014","April","Number","642"
"Injured Casualties","2014","May","Number","653"
"Injured Casualties","2014","June","Number","680"
"Injured Casualties","2014","July","Number","685"
"Injured Casualties","2014","August","Number","741"
"Injured Casualties","2014","September","Number","681"
"Injured Casualties","2014","October","Number","726"
"Injured Casualties","2014","November","Number","791"
"Injured Casualties","2014","December","Number","692"
"Injured Casualties","2015","All months","Number","7840"
"Injured Casualties","2015","January","Number","678"
"Injured Casualties","2015","February","Number","556"
"Injured Casualties","2015","March","Number","643"
"Injured Casualties","2015","April","Number","535"
"Injured Casualties","2015","May","Number","690"
"Injured Casualties","2015","June","Number","646"
"Injured Casualties","2015","July","Number","667"
"Injured Casualties","2015","August","Number","676"
"Injured Casualties","2015","September","Number","689"
"Injured Casualties","2015","October","Number","665"
"Injured Casualties","2015","November","Number","668"
"Injured Casualties","2015","December","Number","727"
"Injured Casualties","2016","All months","Number","7710"
"Injured Casualties","2016","January","Number","696"
"Injured Casualties","2016","February","Number","610"
"Injured Casualties","2016","March","Number","597"
"Injured Casualties","2016","April","Number","530"
"Injured Casualties","2016","May","Number","622"
"Injured Casualties","2016","June","Number","642"
"Injured Casualties","2016","July","Number","722"
"Injured Casualties","2016","August","Number","626"
"Injured Casualties","2016","September","Number","720"
"Injured Casualties","2016","October","Number","618"
"Injured Casualties","2016","November","Number","650"
"Injured Casualties","2016","December","Number","677"
"Injured Casualties","2017","All months","Number","7778"
"Injured Casualties","2017","January","Number","576"
"Injured Casualties","2017","February","Number","522"
"Injured Casualties","2017","March","Number","672"
"Injured Casualties","2017","April","Number","536"
"Injured Casualties","2017","May","Number","704"
"Injured Casualties","2017","June","Number","623"
"Injured Casualties","2017","July","Number","655"
"Injured Casualties","2017","August","Number","635"
"Injured Casualties","2017","September","Number","698"
"Injured Casualties","2017","October","Number","636"
"Injured Casualties","2017","November","Number","805"
"Injured Casualties","2017","December","Number","716"
"Injured Casualties","2018","All months","Number","8011"
"Injured Casualties","2018","January","Number","598"
"Injured Casualties","2018","February","Number","575"
"Injured Casualties","2018","March","Number","595"
"Injured Casualties","2018","April","Number","602"
"Injured Casualties","2018","May","Number","733"
"Injured Casualties","2018","June","Number","706"
"Injured Casualties","2018","July","Number","730"
"Injured Casualties","2018","August","Number","634"
"Injured Casualties","2018","September","Number","685"
"Injured Casualties","2018","October","Number","723"
"Injured Casualties","2018","November","Number","725"
"Injured Casualties","2018","December","Number","705"
"Injured Casualties","2019","All months","Number","7579"
"Injured Casualties","2019","January","Number","625"
"Injured Casualties","2019","February","Number","506"
"Injured Casualties","2019","March","Number","644"
"Injured Casualties","2019","April","Number","526"
"Injured Casualties","2019","May","Number","616"
"Injured Casualties","2019","June","Number","647"
"Injured Casualties","2019","July","Number","680"
"Injured Casualties","2019","August","Number","653"
"Injured Casualties","2019","September","Number","719"
"Injured Casualties","2019","October","Number","679"
"Injured Casualties","2019","November","Number","691"
"Injured Casualties","2019","December","Number","593"
"Injured Casualties","2020","All months","Number","5596"
"Injured Casualties","2020","January","Number","659"
"Injured Casualties","2020","February","Number","554"
"Injured Casualties","2020","March","Number","345"
"Injured Casualties","2020","April","Number","159"
"Injured Casualties","2020","May","Number","276"
"Injured Casualties","2020","June","Number","381"
"Injured Casualties","2020","July","Number","522"
"Injured Casualties","2020","August","Number","533"
"Injured Casualties","2020","September","Number","562"
"Injured Casualties","2020","October","Number","500"
"Injured Casualties","2020","November","Number","476"
"Injured Casualties","2020","December","Number","629"
"Injured Casualties","2021","All months","Number","6196"
"Injured Casualties","2021","January","Number","281"
"Injured Casualties","2021","February","Number","314"
"Injured Casualties","2021","March","Number","360"
"Injured Casualties","2021","April","Number","426"
"Injured Casualties","2021","May","Number","525"
"Injured Casualties","2021","June","Number","566"
"Injured Casualties","2021","July","Number","610"
"Injured Casualties","2021","August","Number","589"
"Injured Casualties","2021","September","Number","658"
"Injured Casualties","2021","October","Number","643"
"Injured Casualties","2021","November","Number","563"
"Injured Casualties","2021","December","Number","661"
"Injured Casualties","2022","All months","Number","7358"
"Injured Casualties","2022","January","Number","505"
"Injured Casualties","2022","February","Number","539"
"Injured Casualties","2022","March","Number","615"
"Injured Casualties","2022","April","Number","594"
"Injured Casualties","2022","May","Number","671"
"Injured Casualties","2022","June","Number","597"
"Injured Casualties","2022","July","Number","593"
"Injured Casualties","2022","August","Number","681"
"Injured Casualties","2022","September","Number","673"
"Injured Casualties","2022","October","Number","684"
"Injured Casualties","2022","November","Number","686"
"Injured Casualties","2022","December","Number","520"
"Injured Casualties","2023","All months","Number","6949"
"Injured Casualties","2023","January","Number","546"
"Injured Casualties","2023","February","Number","485"
"Injured Casualties","2023","March","Number","565"
"Injured Casualties","2023","April","Number","558"
"Injured Casualties","2023","May","Number","605"
"Injured Casualties","2023","June","Number","618"
"Injured Casualties","2023","July","Number","664"
"Injured Casualties","2023","August","Number","575"
"Injured Casualties","2023","September","Number","582"
"Injured Casualties","2023","October","Number","581"
"Injured Casualties","2023","November","Number","595"
"Injured Casualties","2023","December","Number","575"
"All Killed and Injured Casualties","2005","All months","Number","9714"
"All Killed and Injured Casualties","2005","January","Number","716"
"All Killed and Injured Casualties","2005","February","Number","628"
"All Killed and Injured Casualties","2005","March","Number","744"
"All Killed and Injured Casualties","2005","April","Number","749"
"All Killed and Injured Casualties","2005","May","Number","841"
"All Killed and Injured Casualties","2005","June","Number","774"
"All Killed and Injured Casualties","2005","July","Number","927"
"All Killed and Injured Casualties","2005","August","Number","900"
"All Killed and Injured Casualties","2005","September","Number","857"
"All Killed and Injured Casualties","2005","October","Number","936"
"All Killed and Injured Casualties","2005","November","Number","860"
"All Killed and Injured Casualties","2005","December","Number","782"
"All Killed and Injured Casualties","2006","All months","Number","8940"
"All Killed and Injured Casualties","2006","January","Number","763"
"All Killed and Injured Casualties","2006","February","Number","578"
"All Killed and Injured Casualties","2006","March","Number","660"
"All Killed and Injured Casualties","2006","April","Number","639"
"All Killed and Injured Casualties","2006","May","Number","739"
"All Killed and Injured Casualties","2006","June","Number","706"
"All Killed and Injured Casualties","2006","July","Number","800"
"All Killed and Injured Casualties","2006","August","Number","784"
"All Killed and Injured Casualties","2006","September","Number","769"
"All Killed and Injured Casualties","2006","October","Number","829"
"All Killed and Injured Casualties","2006","November","Number","777"
"All Killed and Injured Casualties","2006","December","Number","896"
"All Killed and Injured Casualties","2007","All months","Number","8144"
"All Killed and Injured Casualties","2007","January","Number","661"
"All Killed and Injured Casualties","2007","February","Number","589"
"All Killed and Injured Casualties","2007","March","Number","700"
"All Killed and Injured Casualties","2007","April","Number","595"
"All Killed and Injured Casualties","2007","May","Number","649"
"All Killed and Injured Casualties","2007","June","Number","722"
"All Killed and Injured Casualties","2007","July","Number","752"
"All Killed and Injured Casualties","2007","August","Number","769"
"All Killed and Injured Casualties","2007","September","Number","685"
"All Killed and Injured Casualties","2007","October","Number","680"
"All Killed and Injured Casualties","2007","November","Number","684"
"All Killed and Injured Casualties","2007","December","Number","658"
"All Killed and Injured Casualties","2008","All months","Number","10037"
"All Killed and Injured Casualties","2008","January","Number","843"
"All Killed and Injured Casualties","2008","February","Number","877"
"All Killed and Injured Casualties","2008","March","Number","828"
"All Killed and Injured Casualties","2008","April","Number","802"
"All Killed and Injured Casualties","2008","May","Number","938"
"All Killed and Injured Casualties","2008","June","Number","822"
"All Killed and Injured Casualties","2008","July","Number","796"
"All Killed and Injured Casualties","2008","August","Number","785"
"All Killed and Injured Casualties","2008","September","Number","797"
