Statistic Label,Year,Seat Belt Usage,UNIT,VALUE
Users of Cars Injured in Collisions,2023,Car drivers: seat belt not in use,Number,68
Users of Cars Injured in Collisions,2023,Car drivers: seat belt usage unknown,Number,630
Users of Cars Injured in Collisions,2023,Car drivers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2023,All car drivers,Number,2594
Users of Cars Injured in Collisions,2023,Front seat passengers: seat belt in use,Number,892
Users of Cars Injured in Collisions,2023,Front seat passengers: seat belt not in use,Number,65
Users of Cars Injured in Collisions,2023,Front seat passengers: seat belt usage unknown,Number,243
Users of Cars Injured in Collisions,2023,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2023,All front seat passengers,Number,1200
Users of Cars Uninjured in Collisions,2005,Car drivers: seat belt in use,Number,1293
Users of Cars Uninjured in Collisions,2005,Car drivers: seat belt not in use,Number,81
Users of Cars Uninjured in Collisions,2005,Car drivers: seat belt usage unknown,Number,1252
Users of Cars Uninjured in Collisions,2005,Car drivers: seat belt usage not stated,Number,572
Users of Cars Uninjured in Collisions,2005,All car drivers,Number,3198
Users of Cars Uninjured in Collisions,2005,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2005,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2005,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2005,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2005,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2006,Car drivers: seat belt in use,Number,1157
Users of Cars Uninjured in Collisions,2006,Car drivers: seat belt not in use,Number,60
Users of Cars Uninjured in Collisions,2006,Car drivers: seat belt usage unknown,Number,1005
Users of Cars Uninjured in Collisions,2006,Car drivers: seat belt usage not stated,Number,636
Users of Cars Uninjured in Collisions,2006,All car drivers,Number,2858
Users of Cars Uninjured in Collisions,2006,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2006,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2006,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2006,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2006,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2007,Car drivers: seat belt in use,Number,1055
Users of Cars Uninjured in Collisions,2007,Car drivers: seat belt not in use,Number,32
Users of Cars Uninjured in Collisions,2007,Car drivers: seat belt usage unknown,Number,778
Users of Cars Uninjured in Collisions,2007,Car drivers: seat belt usage not stated,Number,1007
Users of Cars Uninjured in Collisions,2007,All car drivers,Number,2872
Users of Cars Uninjured in Collisions,2007,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2007,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2007,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2007,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2007,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2008,Car drivers: seat belt in use,Number,1599
Users of Cars Uninjured in Collisions,2008,Car drivers: seat belt not in use,Number,30
Users of Cars Uninjured in Collisions,2008,Car drivers: seat belt usage unknown,Number,1195
Users of Cars Uninjured in Collisions,2008,Car drivers: seat belt usage not stated,Number,668
Users of Cars Uninjured in Collisions,2008,All car drivers,Number,3492
Users of Cars Uninjured in Collisions,2008,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2008,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2008,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2008,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2008,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2009,Car drivers: seat belt in use,Number,1947
Users of Cars Uninjured in Collisions,2009,Car drivers: seat belt not in use,Number,39
Users of Cars Uninjured in Collisions,2009,Car drivers: seat belt usage unknown,Number,1236
Users of Cars Uninjured in Collisions,2009,Car drivers: seat belt usage not stated,Number,316
Users of Cars Uninjured in Collisions,2009,All car drivers,Number,3538
Users of Cars Uninjured in Collisions,2009,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2009,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2009,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2009,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2009,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2010,Car drivers: seat belt in use,Number,1639
Users of Cars Uninjured in Collisions,2010,Car drivers: seat belt not in use,Number,26
Users of Cars Uninjured in Collisions,2010,Car drivers: seat belt usage unknown,Number,1245
Users of Cars Uninjured in Collisions,2010,Car drivers: seat belt usage not stated,Number,250
Users of Cars Uninjured in Collisions,2010,All car drivers,Number,3160
Users of Cars Uninjured in Collisions,2010,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2010,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2010,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2010,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2010,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2011,Car drivers: seat belt in use,Number,1495
Users of Cars Uninjured in Collisions,2011,Car drivers: seat belt not in use,Number,26
Users of Cars Uninjured in Collisions,2011,Car drivers: seat belt usage unknown,Number,1141
Users of Cars Uninjured in Collisions,2011,Car drivers: seat belt usage not stated,Number,251
Users of Cars Uninjured in Collisions,2011,All car drivers,Number,2913
Users of Cars Uninjured in Collisions,2011,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2011,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2011,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2011,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2011,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2012,Car drivers: seat belt in use,Number,1568
Users of Cars Uninjured in Collisions,2012,Car drivers: seat belt not in use,Number,29
Users of Cars Uninjured in Collisions,2012,Car drivers: seat belt usage unknown,Number,1323
Users of Cars Uninjured in Collisions,2012,Car drivers: seat belt usage not stated,Number,251
Users of Cars Uninjured in Collisions,2012,All car drivers,Number,3171
Users of Cars Uninjured in Collisions,2012,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2012,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2012,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2012,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2012,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2013,Car drivers: seat belt in use,Number,1240
Users of Cars Uninjured in Collisions,2013,Car drivers: seat belt not in use,Number,25
Users of Cars Uninjured in Collisions,2013,Car drivers: seat belt usage unknown,Number,1201
Users of Cars Uninjured in Collisions,2013,Car drivers: seat belt usage not stated,Number,258
Users of Cars Uninjured in Collisions,2013,All car drivers,Number,2724
Users of Cars Uninjured in Collisions,2013,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2013,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2013,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2013,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2013,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2014,Car drivers: seat belt in use,Number,1523
Users of Cars Uninjured in Collisions,2014,Car drivers: seat belt not in use,Number,35
Users of Cars Uninjured in Collisions,2014,Car drivers: seat belt usage unknown,Number,1683
Users of Cars Uninjured in Collisions,2014,Car drivers: seat belt usage not stated,Number,4
Users of Cars Uninjured in Collisions,2014,All car drivers,Number,3245
Users of Cars Uninjured in Collisions,2014,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2014,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2014,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2014,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2014,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2015,Car drivers: seat belt in use,Number,1597
Users of Cars Uninjured in Collisions,2015,Car drivers: seat belt not in use,Number,38
Users of Cars Uninjured in Collisions,2015,Car drivers: seat belt usage unknown,Number,1612
Users of Cars Uninjured in Collisions,2015,Car drivers: seat belt usage not stated,Number,3
Users of Cars Uninjured in Collisions,2015,All car drivers,Number,3250
Users of Cars Uninjured in Collisions,2015,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2015,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2015,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2015,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2015,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2016,Car drivers: seat belt in use,Number,2005
Users of Cars Uninjured in Collisions,2016,Car drivers: seat belt not in use,Number,60
Users of Cars Uninjured in Collisions,2016,Car drivers: seat belt usage unknown,Number,1318
Users of Cars Uninjured in Collisions,2016,Car drivers: seat belt usage not stated,Number,0
Users of Cars Uninjured in Collisions,2016,All car drivers,Number,3383
Users of Cars Uninjured in Collisions,2016,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2016,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2016,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2016,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2016,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2017,Car drivers: seat belt in use,Number,2430
Users of Cars Uninjured in Collisions,2017,Car drivers: seat belt not in use,Number,35
Users of Cars Uninjured in Collisions,2017,Car drivers: seat belt usage unknown,Number,1278
Users of Cars Uninjured in Collisions,2017,Car drivers: seat belt usage not stated,Number,1
Users of Cars Uninjured in Collisions,2017,All car drivers,Number,3744
Users of Cars Uninjured in Collisions,2017,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2017,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2017,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2017,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2017,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2018,Car drivers: seat belt in use,Number,2437
Users of Cars Uninjured in Collisions,2018,Car drivers: seat belt not in use,Number,58
Users of Cars Uninjured in Collisions,2018,Car drivers: seat belt usage unknown,Number,1253
Users of Cars Uninjured in Collisions,2018,Car drivers: seat belt usage not stated,Number,13
Users of Cars Uninjured in Collisions,2018,All car drivers,Number,3761
Users of Cars Uninjured in Collisions,2018,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2018,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2018,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2018,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2018,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2019,Car drivers: seat belt in use,Number,2671
Users of Cars Uninjured in Collisions,2019,Car drivers: seat belt not in use,Number,45
Users of Cars Uninjured in Collisions,2019,Car drivers: seat belt usage unknown,Number,877
Users of Cars Uninjured in Collisions,2019,Car drivers: seat belt usage not stated,Number,3
Users of Cars Uninjured in Collisions,2019,All car drivers,Number,3596
Users of Cars Uninjured in Collisions,2019,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2019,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2019,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2019,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2019,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2020,Car drivers: seat belt in use,Number,1894
Users of Cars Uninjured in Collisions,2020,Car drivers: seat belt not in use,Number,49
Users of Cars Uninjured in Collisions,2020,Car drivers: seat belt usage unknown,Number,613
Users of Cars Uninjured in Collisions,2020,Car drivers: seat belt usage not stated,Number,11
Users of Cars Uninjured in Collisions,2020,All car drivers,Number,2567
Users of Cars Uninjured in Collisions,2020,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2020,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2020,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2020,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2020,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2021,Car drivers: seat belt in use,Number,2112
Users of Cars Uninjured in Collisions,2021,Car drivers: seat belt not in use,Number,47
Users of Cars Uninjured in Collisions,2021,Car drivers: seat belt usage unknown,Number,683
Users of Cars Uninjured in Collisions,2021,Car drivers: seat belt usage not stated,Number,15
Users of Cars Uninjured in Collisions,2021,All car drivers,Number,2857
Users of Cars Uninjured in Collisions,2021,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2021,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2021,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2021,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2021,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2022,Car drivers: seat belt in use,Number,2489
Users of Cars Uninjured in Collisions,2022,Car drivers: seat belt not in use,Number,50
Users of Cars Uninjured in Collisions,2022,Car drivers: seat belt usage unknown,Number,858
Users of Cars Uninjured in Collisions,2022,Car drivers: seat belt usage not stated,Number,0
Users of Cars Uninjured in Collisions,2022,All car drivers,Number,3397
Users of Cars Uninjured in Collisions,2022,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2022,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2022,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2022,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2022,All front seat passengers,Number,
Users of Cars Uninjured in Collisions,2023,Car drivers: seat belt in use,Number,2261
Users of Cars Uninjured in Collisions,2023,Car drivers: seat belt not in use,Number,53
Users of Cars Uninjured in Collisions,2023,Car drivers: seat belt usage unknown,Number,946
Users of Cars Uninjured in Collisions,2023,Car drivers: seat belt usage not stated,Number,0
Users of Cars Uninjured in Collisions,2023,All car drivers,Number,3260
Users of Cars Uninjured in Collisions,2023,Front seat passengers: seat belt in use,Number,
Users of Cars Uninjured in Collisions,2023,Front seat passengers: seat belt not in use,Number,
Users of Cars Uninjured in Collisions,2023,Front seat passengers: seat belt usage unknown,Number,
Users of Cars Uninjured in Collisions,2023,Front seat passengers: seat belt usage not stated,Number,
Users of Cars Uninjured in Collisions,2023,All front seat passengers,Number,
All Users of Cars Involved in Fatal and Injury Collisions,2005,Car drivers: seat belt in use,Number,3078
All Users of Cars Involved in Fatal and Injury Collisions,2005,Car drivers: seat belt not in use,Number,303
All Users of Cars Involved in Fatal and Injury Collisions,2005,Car drivers: seat belt usage unknown,Number,2666
All Users of Cars Involved in Fatal and Injury Collisions,2005,Car drivers: seat belt usage not stated,Number,1548
All Users of Cars Involved in Fatal and Injury Collisions,2005,All car drivers,Number,7595
All Users of Cars Involved in Fatal and Injury Collisions,2005,Front seat passengers: seat belt in use,Number,476
All Users of Cars Involved in Fatal and Injury Collisions,2005,Front seat passengers: seat belt not in use,Number,49
All Users of Cars Involved in Fatal and Injury Collisions,2005,Front seat passengers: seat belt usage unknown,Number,359
All Users of Cars Involved in Fatal and Injury Collisions,2005,Front seat passengers: seat belt usage not stated,Number,347
All Users of Cars Involved in Fatal and Injury Collisions,2005,All front seat passengers,Number,1231
All Users of Cars Involved in Fatal and Injury Collisions,2006,Car drivers: seat belt in use,Number,2864
All Users of Cars Involved in Fatal and Injury Collisions,2006,Car drivers: seat belt not in use,Number,241
All Users of Cars Involved in Fatal and Injury Collisions,2006,Car drivers: seat belt usage unknown,Number,2290
All Users of Cars Involved in Fatal and Injury Collisions,2006,Car drivers: seat belt usage not stated,Number,1369
All Users of Cars Involved in Fatal and Injury Collisions,2006,All car drivers,Number,6764
All Users of Cars Involved in Fatal and Injury Collisions,2006,Front seat passengers: seat belt in use,Number,520
All Users of Cars Involved in Fatal and Injury Collisions,2006,Front seat passengers: seat belt not in use,Number,49
All Users of Cars Involved in Fatal and Injury Collisions,2006,Front seat passengers: seat belt usage unknown,Number,380
All Users of Cars Involved in Fatal and Injury Collisions,2006,Front seat passengers: seat belt usage not stated,Number,273
All Users of Cars Involved in Fatal and Injury Collisions,2006,All front seat passengers,Number,1222
All Users of Cars Involved in Fatal and Injury Collisions,2007,Car drivers: seat belt in use,Number,2617
All Users of Cars Involved in Fatal and Injury Collisions,2007,Car drivers: seat belt not in use,Number,116
All Users of Cars Involved in Fatal and Injury Collisions,2007,Car drivers: seat belt usage unknown,Number,1727
All Users of Cars Involved in Fatal and Injury Collisions,2007,Car drivers: seat belt usage not stated,Number,1917
All Users of Cars Involved in Fatal and Injury Collisions,2007,All car drivers,Number,6377
All Users of Cars Involved in Fatal and Injury Collisions,2007,Front seat passengers: seat belt in use,Number,571
All Users of Cars Involved in Fatal and Injury Collisions,2007,Front seat passengers: seat belt not in use,Number,39
All Users of Cars Involved in Fatal and Injury Collisions,2007,Front seat passengers: seat belt usage unknown,Number,339
All Users of Cars Involved in Fatal and Injury Collisions,2007,Front seat passengers: seat belt usage not stated,Number,266
All Users of Cars Involved in Fatal and Injury Collisions,2007,All front seat passengers,Number,1215
All Users of Cars Involved in Fatal and Injury Collisions,2008,Car drivers: seat belt in use,Number,3740
All Users of Cars Involved in Fatal and Injury Collisions,2008,Car drivers: seat belt not in use,Number,145
All Users of Cars Involved in Fatal and Injury Collisions,2008,Car drivers: seat belt usage unknown,Number,2592
All Users of Cars Involved in Fatal and Injury Collisions,2008,Car drivers: seat belt usage not stated,Number,1341
All Users of Cars Involved in Fatal and Injury Collisions,2008,All car drivers,Number,7818
All Users of Cars Involved in Fatal and Injury Collisions,2008,Front seat passengers: seat belt in use,Number,808
All Users of Cars Involved in Fatal and Injury Collisions,2008,Front seat passengers: seat belt not in use,Number,50
All Users of Cars Involved in Fatal and Injury Collisions,2008,Front seat passengers: seat belt usage unknown,Number,489
All Users of Cars Involved in Fatal and Injury Collisions,2008,Front seat passengers: seat belt usage not stated,Number,146
All Users of Cars Involved in Fatal and Injury Collisions,2008,All front seat passengers,Number,1493
All Users of Cars Involved in Fatal and Injury Collisions,2009,Car drivers: seat belt in use,Number,4392
All Users of Cars Involved in Fatal and Injury Collisions,2009,Car drivers: seat belt not in use,Number,163
All Users of Cars Involved in Fatal and Injury Collisions,2009,Car drivers: seat belt usage unknown,Number,2673
All Users of Cars Involved in Fatal and Injury Collisions,2009,Car drivers: seat belt usage not stated,Number,609
All Users of Cars Involved in Fatal and Injury Collisions,2009,All car drivers,Number,7837
All Users of Cars Involved in Fatal and Injury Collisions,2009,Front seat passengers: seat belt in use,Number,906
All Users of Cars Involved in Fatal and Injury Collisions,2009,Front seat passengers: seat belt not in use,Number,60
All Users of Cars Involved in Fatal and Injury Collisions,2009,Front seat passengers: seat belt usage unknown,Number,500
All Users of Cars Involved in Fatal and Injury Collisions,2009,Front seat passengers: seat belt usage not stated,Number,79
All Users of Cars Involved in Fatal and Injury Collisions,2009,All front seat passengers,Number,1545
All Users of Cars Involved in Fatal and Injury Collisions,2010,Car drivers: seat belt in use,Number,3568
All Users of Cars Involved in Fatal and Injury Collisions,2010,Car drivers: seat belt not in use,Number,142
All Users of Cars Involved in Fatal and Injury Collisions,2010,Car drivers: seat belt usage unknown,Number,2496
All Users of Cars Involved in Fatal and Injury Collisions,2010,Car drivers: seat belt usage not stated,Number,540
All Users of Cars Involved in Fatal and Injury Collisions,2010,All car drivers,Number,6746
All Users of Cars Involved in Fatal and Injury Collisions,2010,Front seat passengers: seat belt in use,Number,770
All Users of Cars Involved in Fatal and Injury Collisions,2010,Front seat passengers: seat belt not in use,Number,48
All Users of Cars Involved in Fatal and Injury Collisions,2010,Front seat passengers: seat belt usage unknown,Number,401
All Users of Cars Involved in Fatal and Injury Collisions,2010,Front seat passengers: seat belt usage not stated,Number,54
All Users of Cars Involved in Fatal and Injury Collisions,2010,All front seat passengers,Number,1273
All Users of Cars Involved in Fatal and Injury Collisions,2011,Car drivers: seat belt in use,Number,3168
All Users of Cars Involved in Fatal and Injury Collisions,2011,Car drivers: seat belt not in use,Number,122
All Users of Cars Involved in Fatal and Injury Collisions,2011,Car drivers: seat belt usage unknown,Number,2127
All Users of Cars Involved in Fatal and Injury Collisions,2011,Car drivers: seat belt usage not stated,Number,546
All Users of Cars Involved in Fatal and Injury Collisions,2011,All car drivers,Number,5963
All Users of Cars Involved in Fatal and Injury Collisions,2011,Front seat passengers: seat belt in use,Number,622
All Users of Cars Involved in Fatal and Injury Collisions,2011,Front seat passengers: seat belt not in use,Number,43
All Users of Cars Involved in Fatal and Injury Collisions,2011,Front seat passengers: seat belt usage unknown,Number,315
All Users of Cars Involved in Fatal and Injury Collisions,2011,Front seat passengers: seat belt usage not stated,Number,59
All Users of Cars Involved in Fatal and Injury Collisions,2011,All front seat passengers,Number,1039
All Users of Cars Involved in Fatal and Injury Collisions,2012,Car drivers: seat belt in use,Number,3289
All Users of Cars Involved in Fatal and Injury Collisions,2012,Car drivers: seat belt not in use,Number,131
All Users of Cars Involved in Fatal and Injury Collisions,2012,Car drivers: seat belt usage unknown,Number,2540
All Users of Cars Involved in Fatal and Injury Collisions,2012,Car drivers: seat belt usage not stated,Number,535
All Users of Cars Involved in Fatal and Injury Collisions,2012,All car drivers,Number,6495
All Users of Cars Involved in Fatal and Injury Collisions,2012,Front seat passengers: seat belt in use,Number,657
All Users of Cars Involved in Fatal and Injury Collisions,2012,Front seat passengers: seat belt not in use,Number,30
All Users of Cars Involved in Fatal and Injury Collisions,2012,Front seat passengers: seat belt usage unknown,Number,410
All Users of Cars Involved in Fatal and Injury Collisions,2012,Front seat passengers: seat belt usage not stated,Number,54
All Users of Cars Involved in Fatal and Injury Collisions,2012,All front seat passengers,Number,1151
All Users of Cars Involved in Fatal and Injury Collisions,2013,Car drivers: seat belt in use,Number,2728
All Users of Cars Involved in Fatal and Injury Collisions,2013,Car drivers: seat belt not in use,Number,96
All Users of Cars Involved in Fatal and Injury Collisions,2013,Car drivers: seat belt usage unknown,Number,2279
All Users of Cars Involved in Fatal and Injury Collisions,2013,Car drivers: seat belt usage not stated,Number,453
All Users of Cars Involved in Fatal and Injury Collisions,2013,All car drivers,Number,5556
All Users of Cars Involved in Fatal and Injury Collisions,2013,Front seat passengers: seat belt in use,Number,523
All Users of Cars Involved in Fatal and Injury Collisions,2013,Front seat passengers: seat belt not in use,Number,35
All Users of Cars Involved in Fatal and Injury Collisions,2013,Front seat passengers: seat belt usage unknown,Number,338
All Users of Cars Involved in Fatal and Injury Collisions,2013,Front seat passengers: seat belt usage not stated,Number,40
All Users of Cars Involved in Fatal and Injury Collisions,2013,All front seat passengers,Number,936
All Users of Cars Involved in Fatal and Injury Collisions,2014,Car drivers: seat belt in use,Number,3316
All Users of Cars Involved in Fatal and Injury Collisions,2014,Car drivers: seat belt not in use,Number,141
All Users of Cars Involved in Fatal and Injury Collisions,2014,Car drivers: seat belt usage unknown,Number,2958
All Users of Cars Involved in Fatal and Injury Collisions,2014,Car drivers: seat belt usage not stated,Number,14
All Users of Cars Involved in Fatal and Injury Collisions,2014,All car drivers,Number,6429
All Users of Cars Involved in Fatal and Injury Collisions,2014,Front seat passengers: seat belt in use,Number,605
All Users of Cars Involved in Fatal and Injury Collisions,2014,Front seat passengers: seat belt not in use,Number,50
All Users of Cars Involved in Fatal and Injury Collisions,2014,Front seat passengers: seat belt usage unknown,Number,432
All Users of Cars Involved in Fatal and Injury Collisions,2014,Front seat passengers: seat belt usage not stated,Number,4
All Users of Cars Involved in Fatal and Injury Collisions,2014,All front seat passengers,Number,1091
All Users of Cars Involved in Fatal and Injury Collisions,2015,Car drivers: seat belt in use,Number,3441
All Users of Cars Involved in Fatal and Injury Collisions,2015,Car drivers: seat belt not in use,Number,144
All Users of Cars Involved in Fatal and Injury Collisions,2015,Car drivers: seat belt usage unknown,Number,2756
All Users of Cars Involved in Fatal and Injury Collisions,2015,Car drivers: seat belt usage not stated,Number,13
All Users of Cars Involved in Fatal and Injury Collisions,2015,All car drivers,Number,6354
All Users of Cars Involved in Fatal and Injury Collisions,2015,Front seat passengers: seat belt in use,Number,608
All Users of Cars Involved in Fatal and Injury Collisions,2015,Front seat passengers: seat belt not in use,Number,42
All Users of Cars Involved in Fatal and Injury Collisions,2015,Front seat passengers: seat belt usage unknown,Number,355
All Users of Cars Involved in Fatal and Injury Collisions,2015,Front seat passengers: seat belt usage not stated,Number,4
All Users of Cars Involved in Fatal and Injury Collisions,2015,All front seat passengers,Number,1009
All Users of Cars Involved in Fatal and Injury Collisions,2016,Car drivers: seat belt in use,Number,4329
All Users of Cars Involved in Fatal and Injury Collisions,2016,Car drivers: seat belt not in use,Number,183
All Users of Cars Involved in Fatal and Injury Collisions,2016,Car drivers: seat belt usage unknown,Number,1976
All Users of Cars Involved in Fatal and Injury Collisions,2016,Car drivers: seat belt usage not stated,Number,0
All Users of Cars Involved in Fatal and Injury Collisions,2016,All car drivers,Number,6488
All Users of Cars Involved in Fatal and Injury Collisions,2016,Front seat passengers: seat belt in use,Number,688
All Users of Cars Involved in Fatal and Injury Collisions,2016,Front seat passengers: seat belt not in use,Number,41
All Users of Cars Involved in Fatal and Injury Collisions,2016,Front seat passengers: seat belt usage unknown,Number,211
All Users of Cars Involved in Fatal and Injury Collisions,2016,Front seat passengers: seat belt usage not stated,Number,0
All Users of Cars Involved in Fatal and Injury Collisions,2016,All front seat passengers,Number,940
All Users of Cars Involved in Fatal and Injury Collisions,2017,Car drivers: seat belt in use,Number,4731
All Users of Cars Involved in Fatal and Injury Collisions,2017,Car drivers: seat belt not in use,Number,145
All Users of Cars Involved in Fatal and Injury Collisions,2017,Car drivers: seat belt usage unknown,Number,2027
All Users of Cars Involved in Fatal and Injury Collisions,2017,Car drivers: seat belt usage not stated,Number,1
All Users of Cars Involved in Fatal and Injury Collisions,2017,All car drivers,Number,6904
All Users of Cars Involved in Fatal and Injury Collisions,2017,Front seat passengers: seat belt in use,Number,662
All Users of Cars Involved in Fatal and Injury Collisions,2017,Front seat passengers: seat belt not in use,Number,42
All Users of Cars Involved in Fatal and Injury Collisions,2017,Front seat passengers: seat belt usage unknown,Number,210
All Users of Cars Involved in Fatal and Injury Collisions,2017,Front seat passengers: seat belt usage not stated,Number,0
All Users of Cars Involved in Fatal and Injury Collisions,2017,All front seat passengers,Number,914
All Users of Cars Involved in Fatal and Injury Collisions,2018,Car drivers: seat belt in use,Number,4768
All Users of Cars Involved in Fatal and Injury Collisions,2018,Car drivers: seat belt not in use,Number,173
All Users of Cars Involved in Fatal and Injury Collisions,2018,Car drivers: seat belt usage unknown,Number,1985
All Users of Cars Involved in Fatal and Injury Collisions,2018,Car drivers: seat belt usage not stated,Number,15
All Users of Cars Involved in Fatal and Injury Collisions,2018,All car drivers,Number,6941
