Statistic Label,Year,Seat Belt Usage,UNIT,VALUE
Users of Cars Killed in Collisions,2012,Front seat passengers: seat belt in use,Number,4
Users of Cars Killed in Collisions,2012,Front seat passengers: seat belt not in use,Number,0
Users of Cars Killed in Collisions,2012,Front seat passengers: seat belt usage unknown,Number,9
Users of Cars Killed in Collisions,2012,Front seat passengers: seat belt usage not stated,Number,2
Users of Cars Killed in Collisions,2012,All front seat passengers,Number,15
Users of Cars Killed in Collisions,2013,Car drivers: seat belt in use,Number,27
Users of Cars Killed in Collisions,2013,Car drivers: seat belt not in use,Number,13
Users of Cars Killed in Collisions,2013,Car drivers: seat belt usage unknown,Number,35
Users of Cars Killed in Collisions,2013,Car drivers: seat belt usage not stated,Number,4
Users of Cars Killed in Collisions,2013,All car drivers,Number,79
Users of Cars Killed in Collisions,2013,Front seat passengers: seat belt in use,Number,5
Users of Cars Killed in Collisions,2013,Front seat passengers: seat belt not in use,Number,2
Users of Cars Killed in Collisions,2013,Front seat passengers: seat belt usage unknown,Number,11
Users of Cars Killed in Collisions,2013,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2013,All front seat passengers,Number,18
Users of Cars Killed in Collisions,2014,Car drivers: seat belt in use,Number,34
Users of Cars Killed in Collisions,2014,Car drivers: seat belt not in use,Number,18
Users of Cars Killed in Collisions,2014,Car drivers: seat belt usage unknown,Number,15
Users of Cars Killed in Collisions,2014,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2014,All car drivers,Number,67
Users of Cars Killed in Collisions,2014,Front seat passengers: seat belt in use,Number,9
Users of Cars Killed in Collisions,2014,Front seat passengers: seat belt not in use,Number,10
Users of Cars Killed in Collisions,2014,Front seat passengers: seat belt usage unknown,Number,5
Users of Cars Killed in Collisions,2014,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2014,All front seat passengers,Number,24
Users of Cars Killed in Collisions,2015,Car drivers: seat belt in use,Number,33
Users of Cars Killed in Collisions,2015,Car drivers: seat belt not in use,Number,18
Users of Cars Killed in Collisions,2015,Car drivers: seat belt usage unknown,Number,12
Users of Cars Killed in Collisions,2015,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2015,All car drivers,Number,63
Users of Cars Killed in Collisions,2015,Front seat passengers: seat belt in use,Number,6
Users of Cars Killed in Collisions,2015,Front seat passengers: seat belt not in use,Number,5
Users of Cars Killed in Collisions,2015,Front seat passengers: seat belt usage unknown,Number,4
Users of Cars Killed in Collisions,2015,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2015,All front seat passengers,Number,15
Users of Cars Killed in Collisions,2016,Car drivers: seat belt in use,Number,42
Users of Cars Killed in Collisions,2016,Car drivers: seat belt not in use,Number,18
Users of Cars Killed in Collisions,2016,Car drivers: seat belt usage unknown,Number,15
Users of Cars Killed in Collisions,2016,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2016,All car drivers,Number,75
Users of Cars Killed in Collisions,2016,Front seat passengers: seat belt in use,Number,10
Users of Cars Killed in Collisions,2016,Front seat passengers: seat belt not in use,Number,8
Users of Cars Killed in Collisions,2016,Front seat passengers: seat belt usage unknown,Number,6
Users of Cars Killed in Collisions,2016,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2016,All front seat passengers,Number,24
