"Statistic Label","Year","Age Group","Sex","Road User Type","UNIT","VALUE"
"Killed Casualties","2005","18 - 20 years","Female","Motor cyclists","Number","0"
"Killed Casualties","2005","18 - 20 years","Female","All Car users","Number","7"
"Killed Casualties","2005","18 - 20 years","Female","Car drivers","Number","4"
"Killed Casualties","2005","18 - 20 years","Female","Car passengers","Number","3"
"Killed Casualties","2005","18 - 20 years","Female","Other road users","Number","2"
"Killed Casualties","2005","21 - 24 years","Male","All road users","Number","43"
"Killed Casualties","2005","21 - 24 years","Male","Pedestrians","Number","5"
"Killed Casualties","2005","21 - 24 years","Male","Pedal cyclists","Number","0"
"Killed Casualties","2005","21 - 24 years","Male","Motor cyclists","Number","10"
"Killed Casualties","2005","21 - 24 years","Male","All Car users","Number","25"
"Killed Casualties","2005","21 - 24 years","Male","Car drivers","Number","13"
"Killed Casualties","2005","21 - 24 years","Male","Car passengers","Number","12"
"Killed Casualties","2005","21 - 24 years","Male","Other road users","Number","3"
"Killed Casualties","2005","21 - 24 years","Female","All road users","Number","11"
"Killed Casualties","2005","21 - 24 years","Female","Pedestrians","Number","0"
"Killed Casualties","2005","21 - 24 years","Female","Pedal cyclists","Number","0"
"Killed Casualties","2005","21 - 24 years","Female","Motor cyclists","Number","0"
"Killed Casualties","2005","21 - 24 years","Female","All Car users","Number","11"
"Killed Casualties","2005","21 - 24 years","Female","Car drivers","Number","6"
"Killed Casualties","2005","21 - 24 years","Female","Car passengers","Number","5"
"Killed Casualties","2005","21 - 24 years","Female","Other road users","Number","0"
"Killed Casualties","2005","25 - 34 years","Male","All road users","Number","58"
"Killed Casualties","2005","25 - 34 years","Male","Pedestrians","Number","4"
"Killed Casualties","2005","25 - 34 years","Male","Pedal cyclists","Number","3"
"Killed Casualties","2005","25 - 34 years","Male","Motor cyclists","Number","18"
"Killed Casualties","2005","25 - 34 years","Male","All Car users","Number","27"
"Killed Casualties","2005","25 - 34 years","Male","Car drivers","Number","19"
"Killed Casualties","2005","25 - 34 years","Male","Car passengers","Number","8"
"Killed Casualties","2005","25 - 34 years","Male","Other road users","Number","6"
"Killed Casualties","2005","25 - 34 years","Female","All road users","Number","19"
"Killed Casualties","2005","25 - 34 years","Female","Pedestrians","Number","2"
"Killed Casualties","2005","25 - 34 years","Female","Pedal cyclists","Number","0"
"Killed Casualties","2005","25 - 34 years","Female","Motor cyclists","Number","1"
"Killed Casualties","2005","25 - 34 years","Female","All Car users","Number","14"
"Killed Casualties","2005","25 - 34 years","Female","Car drivers","Number","10"
"Killed Casualties","2005","25 - 34 years","Female","Car passengers","Number","4"
"Killed Casualties","2005","25 - 34 years","Female","Other road users","Number","2"
"Killed Casualties","2005","35 - 44 years","Male","All road users","Number","38"
"Killed Casualties","2005","35 - 44 years","Male","Pedestrians","Number","2"
"Killed Casualties","2005","35 - 44 years","Male","Pedal cyclists","Number","1"
"Killed Casualties","2005","35 - 44 years","Male","Motor cyclists","Number","12"
"Killed Casualties","2005","35 - 44 years","Male","All Car users","Number","19"
"Killed Casualties","2005","35 - 44 years","Male","Car drivers","Number","16"
"Killed Casualties","2005","35 - 44 years","Male","Car passengers","Number","3"
"Killed Casualties","2005","35 - 44 years","Male","Other road users","Number","4"
"Killed Casualties","2005","35 - 44 years","Female","All road users","Number","7"
"Killed Casualties","2005","35 - 44 years","Female","Pedestrians","Number","1"
"Killed Casualties","2005","35 - 44 years","Female","Pedal cyclists","Number","0"
"Killed Casualties","2005","35 - 44 years","Female","Motor cyclists","Number","0"
"Killed Casualties","2005","35 - 44 years","Female","All Car users","Number","6"
"Killed Casualties","2005","35 - 44 years","Female","Car drivers","Number","2"
"Killed Casualties","2005","35 - 44 years","Female","Car passengers","Number","4"
"Killed Casualties","2005","35 - 44 years","Female","Other road users","Number","0"
"Killed Casualties","2005","45 - 54 years","Male","All road users","Number","21"
"Killed Casualties","2005","45 - 54 years","Male","Pedestrians","Number","4"
"Killed Casualties","2005","45 - 54 years","Male","Pedal cyclists","Number","0"
"Killed Casualties","2005","45 - 54 years","Male","Motor cyclists","Number","6"
"Killed Casualties","2005","45 - 54 years","Male","All Car users","Number","9"
"Killed Casualties","2005","45 - 54 years","Male","Car drivers","Number","8"
"Killed Casualties","2005","45 - 54 years","Male","Car passengers","Number","1"
"Killed Casualties","2005","45 - 54 years","Male","Other road users","Number","2"
"Killed Casualties","2005","45 - 54 years","Female","All road users","Number","10"
"Killed Casualties","2005","45 - 54 years","Female","Pedestrians","Number","0"
"Killed Casualties","2005","45 - 54 years","Female","Pedal cyclists","Number","0"
"Killed Casualties","2005","45 - 54 years","Female","Motor cyclists","Number","1"
"Killed Casualties","2005","45 - 54 years","Female","All Car users","Number","8"
"Killed Casualties","2005","45 - 54 years","Female","Car drivers","Number","5"
"Killed Casualties","2005","45 - 54 years","Female","Car passengers","Number","3"
"Killed Casualties","2005","45 - 54 years","Female","Other road users","Number","1"
"Killed Casualties","2005","55 - 64 years","Male","All road users","Number","22"
"Killed Casualties","2005","55 - 64 years","Male","Pedestrians","Number","7"
"Killed Casualties","2005","55 - 64 years","Male","Pedal cyclists","Number","1"
"Killed Casualties","2005","55 - 64 years","Male","Motor cyclists","Number","2"
"Killed Casualties","2005","55 - 64 years","Male","All Car users","Number","9"
"Killed Casualties","2005","55 - 64 years","Male","Car drivers","Number","9"
"Killed Casualties","2005","55 - 64 years","Male","Car passengers","Number","0"
"Killed Casualties","2005","55 - 64 years","Male","Other road users","Number","3"
"Killed Casualties","2005","55 - 64 years","Female","All road users","Number","11"
"Killed Casualties","2005","55 - 64 years","Female","Pedestrians","Number","4"
"Killed Casualties","2005","55 - 64 years","Female","Pedal cyclists","Number","1"
"Killed Casualties","2005","55 - 64 years","Female","Motor cyclists","Number","0"
"Killed Casualties","2005","55 - 64 years","Female","All Car users","Number","6"
